,3-4,5-6,7-8,9-10
3-4,0.0,1.0,0.0,0.0
5-6,0.0,0.3181818181818182,0.6818181818181818,0.0
7-8,0.0,0.05714285714285714,0.8571428571428571,0.08571428571428572
9-10,0.0,0.08108108108108109,0.5405405405405406,0.3783783783783784
