dataset,stage,model_type,fold,train_subjects,val_subject,test_subject,selected_alpha,val_selection_mae,n_features,val_n,val_mae,val_rmse,val_r2,val_spearman,val_rounded_exact_acc,val_rounded_pm1_acc,test_n,test_mae,test_rmse,test_r2,test_spearman,test_rounded_exact_acc,test_rounded_pm1_acc
imu_only_7subject_sets,M4_add_one__eccentric_pca_range_mean,ridge,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.01,0.7515059157043839,11,24,0.7515059157043839,1.1634088803131422,0.36252849687008026,0.669000071224848,0.5833333333333334,0.8333333333333334,24,1.248583359539242,1.472709104337019,-0.01401812747918485,0.752220545313853,0.25,0.5833333333333334
imu_only_7subject_sets,M4_add_one__eccentric_pca_range_mean,ridge,6,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|yoru0511workout,ziho0512workout,yushuan0513workout,100.0,1.5611130687658907,11,23,1.5611130687658907,1.7229991963705151,-1.4692707170390418,0.6478398000259391,0.08695652173913043,0.43478260869565216,24,1.0441451467816119,1.3765458440272693,0.1075633741878671,0.6052013889358558,0.3333333333333333,0.7916666666666666
imu_only_7subject_sets,M4_add_one__eccentric_pca_range_mean,ridge,7,hsianshun0514workout|tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout,haoyu0512workout,ziho0512workout,100.0,1.3496066666773736,11,24,1.3496066666773736,1.5544037145504221,-1.4330672078627527,0.6172216156277589,0.20833333333333334,0.5416666666666666,23,1.623673802046715,1.7787609831910132,-1.6316840347259234,0.6770735057483023,0.08695652173913043,0.34782608695652173
imu_only_7subject_sets,M4_add_one__concentric_gyro_diff_rms_last2,ridge,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,10.0,1.1648130822966631,11,23,1.1648130822966631,1.4965148678588762,0.4265607354291905,0.7134454755903329,0.34782608695652173,0.6086956521739131,24,1.1564269433475607,1.3607706255806749,-0.8646456233833832,0.6356623317361453,0.20833333333333334,0.75
imu_only_7subject_sets,M4_add_one__concentric_gyro_diff_rms_last2,ridge,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,100.0,1.7462224676150075,11,24,1.7462224676150075,2.1028366787228205,-0.1556384428729789,0.8467074981610849,0.25,0.4166666666666667,23,1.428492802302223,1.7144073111508482,0.24741878282137586,0.7636527574756483,0.21739130434782608,0.6086956521739131
imu_only_7subject_sets,M4_add_one__concentric_gyro_diff_rms_last2,ridge,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,10.0,0.7805803462295241,11,24,0.7805803462295241,0.921695220640742,0.579617939916543,0.7476355629584495,0.375,0.875,24,1.824825400870621,2.049548281561922,-0.09781004504045998,0.8356884000590408,0.0,0.5416666666666666
imu_only_7subject_sets,M4_add_one__concentric_gyro_diff_rms_last2,ridge,4,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yushuan0513workout|ziho0512workout,yoru0511workout,yanz0510workout,100.0,1.3266046464390446,11,24,1.3266046464390446,1.6658212842267823,-0.2973841537063222,0.7073715045365808,0.3333333333333333,0.5833333333333334,24,0.847986911847884,1.057150694479343,0.44697686226565425,0.6644661100891872,0.3333333333333333,0.875
imu_only_7subject_sets,M4_add_one__concentric_gyro_diff_rms_last2,ridge,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.01,0.7737503494591774,11,24,0.7737503494591774,1.165720904959352,0.35999230459744214,0.669000071224848,0.5833333333333334,0.8333333333333334,24,1.272274591934117,1.5038054475319773,-0.05729233331125494,0.7575491442180835,0.25,0.5833333333333334
imu_only_7subject_sets,M4_add_one__concentric_gyro_diff_rms_last2,ridge,6,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|yoru0511workout,ziho0512workout,yushuan0513workout,100.0,1.5226970630501604,11,23,1.5226970630501604,1.6790864862911812,-1.345009945987039,0.6760294448296463,0.08695652173913043,0.43478260869565216,24,1.0672311353290114,1.3845877633091146,0.09710550613256419,0.6233662915320273,0.25,0.7916666666666666
imu_only_7subject_sets,M4_add_one__concentric_gyro_diff_rms_last2,ridge,7,hsianshun0514workout|tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout,haoyu0512workout,ziho0512workout,100.0,1.3558435224225747,11,24,1.3558435224225747,1.5751977687912824,-1.4985993954959782,0.6275267216883277,0.20833333333333334,0.5833333333333334,23,1.5745811380278614,1.7313727009186075,-1.4933295694940205,0.726144368925126,0.13043478260869565,0.43478260869565216
