folder,workbook,status,target_reps
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,ok,288.0
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,ok,279.0
kevin0509workout,,missing,
thomas0506workout,,missing,
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,ok,286.0
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,ok,275.0
yoru0511workout,datasets/workout/yoru0511workout/yoru0511workout.xlsx,ok,288.0
yushuan0513workout,datasets/workout/yushuan0513workout/yushuan0513workout.xlsx,ok,281.0
ziho0512workout,,missing,
