folder,file,subject,exercise,set_id,rep_id,rep_index,start,end,rep_duration_sec,concentric_sec,eccentric_sec,concentric_ratio,eccentric_ratio,phase_balance_abs,pca_mean,pca_std,pca_range,pca_rms,pca_diff_rms,pca_diff_abs_mean,pca_slope,acc_mag_mean,acc_mag_std,acc_mag_range,acc_mag_rms,acc_mag_diff_rms,acc_mag_diff_abs_mean,acc_mag_slope,gyro_mag_mean,gyro_mag_std,gyro_mag_range,gyro_mag_rms,gyro_mag_diff_rms,gyro_mag_diff_abs_mean,gyro_mag_slope,mag_mag_mean,mag_mag_std,mag_mag_range,mag_mag_rms,mag_mag_diff_rms,mag_mag_diff_abs_mean,mag_mag_slope,ax_mean,ax_std,ax_range,ax_rms,ax_diff_rms,ax_diff_abs_mean,ax_slope,ay_mean,ay_std,ay_range,ay_rms,ay_diff_rms,ay_diff_abs_mean,ay_slope,az_mean,az_std,az_range,az_rms,az_diff_rms,az_diff_abs_mean,az_slope,gx_mean,gx_std,gx_range,gx_rms,gx_diff_rms,gx_diff_abs_mean,gx_slope,gy_mean,gy_std,gy_range,gy_rms,gy_diff_rms,gy_diff_abs_mean,gy_slope,gz_mean,gz_std,gz_range,gz_rms,gz_diff_rms,gz_diff_abs_mean,gz_slope,mx_mean,mx_std,mx_range,mx_rms,mx_diff_rms,mx_diff_abs_mean,mx_slope,my_mean,my_std,my_range,my_rms,my_diff_rms,my_diff_abs_mean,my_slope,mz_mean,mz_std,mz_range,mz_rms,mz_diff_rms,mz_diff_abs_mean,mz_slope,sim_to_first,sim_to_prev
thomas0506workout,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_biceps_curl,1,7,7,181585,181848,2.420126,1.030624,1.389502,0.42585551330798477,0.5741444866920152,0.1482889733840304,-8.442760643537312e-18,1.0,2.88472622424279,1.0,0.029601789512789394,0.022053077289884808,-0.009230781054985966,1.7190796090939613,0.211578112283271,0.7973164934005419,1.732050807568877,0.09014959340460356,0.048646026392060775,0.002279555017471586,1.5483892599818172,0.7762027438581751,2.56771203727026,1.7320508075688772,0.04665812969906066,0.0364262685132998,-0.044411775841477326,1.7056264824601954,0.30139393213941823,0.949783265767836,1.732050807568877,0.028083235708129105,0.016647306408103624,0.005374463064794267,1.3170706603918206e-16,1.0,2.697878621714331,1.0,0.0508498891921021,0.028189480385629982,-0.0037856036341323445,1.621010043559164e-16,1.0,3.909252185366463,1.0000000000000002,0.23996885470428864,0.1330789133632573,0.20857287721908185,0.0,1.0,3.4140111124061323,1.0,0.27401938033420253,0.15462119797595253,-0.04307412633097082,2.026262554448955e-17,1.0,4.9960626514023385,1.0,0.47080559670875977,0.33767709142303204,-0.1466493666811825,-1.621010043559164e-16,1.0,3.113145545206515,1.0,0.02755033327133587,0.022053994282193293,-1.6359761742327166,5.40336681186388e-17,1.0,2.9337480523496295,1.0,0.039829287134151015,0.0314869151798973,-1.6211931177717018,-4.5590907475101487e-17,1.0,2.94238304789838,1.0,0.04239464424956225,0.0238143620501813,0.0038162807554962467,-3.106935916821731e-16,1.0,3.4037416905410467,1.0,0.14217293236127265,0.07692978192609741,-0.0918111121467266,6.112558705921014e-16,1.0,2.929554232291267,1.0,0.08359033076281185,0.050145741890276346,-0.07710779118991042,0.4615736980837173,0.9464266640441751
thomas0506workout,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_biceps_curl,1,8,8,181848,182141,2.696186,1.3158860000000001,1.3803,0.4880546075085324,0.5119453924914675,0.023890784982935155,-9.70024212641775e-17,0.9999999999999999,2.9086787149378166,0.9999999999999999,0.02546252868825457,0.020481429706741116,0.12061701225989653,1.7248705797673658,0.15754835147658913,0.8800856519678082,1.7320508075688772,0.0904302778763684,0.045633568030737225,-0.010126585437573804,1.5068555626852127,0.8540411659894566,3.0521849573403728,1.7320508075688772,0.06407107814590698,0.049096847043205535,-0.24809488122318468,1.708349445659038,0.28555589910989027,0.8422134031948061,1.7320508075688772,0.025595723213355806,0.015022356381668142,0.015336683437903117,2.4250605316044375e-17,1.0,2.6467692526786717,1.0,0.05299542790702487,0.028639066177253834,-0.008552036036713215,-1.2125302658022188e-17,1.0,3.913410668757163,1.0,0.2923213689382396,0.16093062425452143,-0.12144019612056968,-1.2125302658022188e-16,1.0,4.230160673350995,1.0,0.25696790715006324,0.14544076190877991,-0.5667642999867031,4.850121063208875e-17,1.0,5.320904829168917,1.0,0.3951168800133631,0.2916852719801138,-0.30997705195401126,-4.850121063208875e-17,1.0,3.306972922877197,1.0,0.03784590881368321,0.029610248552441678,-1.2669599987659057,-4.850121063208875e-17,0.9999999999999999,3.2423556484541614,0.9999999999999999,0.05102775317861524,0.04014329508160365,-1.2632504663014417,0.0,0.9999999999999999,2.7346004371342687,0.9999999999999999,0.03527575603526897,0.019277170365821175,-0.04428810528432518,-9.70024212641775e-17,1.0,3.913940147550897,1.0000000000000002,0.17902909551402355,0.09358448844907893,0.2505038916666638,7.275181594813312e-17,1.0,3.202539333807694,1.0,0.09506385513381811,0.0546277033075461,-0.21202596702688323,0.8258830036366764,0.8634417500731537
thomas0506workout,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_biceps_curl,1,9,9,182141,182412,2.493742,1.19626,1.297482,0.4797047970479705,0.5202952029520295,0.04059040590405904,1.8681243513987875e-16,1.0,3.1337260187112865,1.0,0.030667836199534955,0.02243780791127613,-0.18441928537376923,1.718331360309917,0.21757145073623496,0.9815686799623877,1.7320508075688772,0.08426321804690624,0.04421581789931245,0.025601101069805447,1.5336047704096265,0.8050195079479974,2.8588423601149566,1.7320508075688772,0.05225884009465411,0.041183417191597106,-0.02845564080736216,1.7135415116475752,0.25253809190009807,0.8489455738430791,1.7320508075688772,0.03127828696194381,0.017839836714153654,0.04212933669099465,-6.227081171329291e-17,1.0,2.913863493137561,1.0,0.05502317786461024,0.03202133114342103,-0.15591432564966343,6.55482228560978e-18,1.0,3.625505763473691,1.0,0.23521383701808027,0.12902137220286072,0.22677483555122466,-1.9008984628268362e-16,1.0,3.458458273903919,1.0,0.2394424023982995,0.13227980654443813,0.09103016484264895,0.0,1.0,5.895810069971596,1.0,0.3657278002743171,0.26066516343885815,0.11178887968172108,5.243857828487824e-17,1.0,3.3260139312900736,1.0,0.031262143243964535,0.0238444424152985,-1.6622787435818935,5.243857828487824e-17,1.0,3.027016796311148,1.0,0.043315934571211995,0.034563006078269044,-1.627254823039769,-1.0815456771256138e-16,1.0,3.2325969731513355,1.0,0.044979292076020104,0.02503664968944319,0.17816696865151901,2.621928914243912e-17,1.0,3.4488712446002276,1.0,0.18311946154751838,0.1003431154077407,-0.24867025097864018,-4.1950862627902593e-16,0.9999999999999999,2.9668254740121105,1.0,0.09355892849648031,0.05413093710515263,-0.1393956051199289,0.38320636260946017,0.8183912400797291
thomas0506workout,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_biceps_curl,1,10,10,182412,182682,2.48454,1.352694,1.131846,0.5444444444444444,0.45555555555555555,0.08888888888888889,2.6316397620744452e-17,1.0,2.6235924934404493,1.0,0.025747071990884947,0.019817397646040256,0.001621264061700873,1.7226950671404846,0.17978238414772915,0.8432519534432423,1.7320508075688772,0.08360227045847816,0.043484624255022225,-0.007030464854330058,1.5414425361958728,0.7899081640330318,2.7408302244945606,1.732050807568877,0.0563601384893494,0.044390236196523526,0.005273399797696642,1.7078353682896545,0.28861454367190115,0.8558279275169263,1.7320508075688772,0.02547321062381603,0.014659889587932441,0.002629651860049439,-3.289549702593056e-17,0.9999999999999998,2.6411110160255316,0.9999999999999998,0.05344389335851213,0.029614741289181564,-0.023963324971025744,3.8158776550079455e-16,1.0,3.8002687147780723,1.0,0.23226006421373124,0.12648059920887808,-0.05656101412462312,1.8421478334521115e-16,1.0,3.570201518137541,1.0,0.20519777608573125,0.11349190474494854,0.014800548834264926,-2.960594732333751e-17,0.9999999999999998,4.842125546563366,0.9999999999999998,0.27078017539727295,0.19711202458833146,-0.15467366849244457,1.0526559048297781e-16,1.0,3.1202853861183946,1.0,0.03212366495280414,0.026245365497266353,-1.4388404520089033,5.2632795241488905e-17,1.0,3.329129125330043,1.0,0.0486205955899352,0.03795909732036053,-1.4320241088497154,1.973729821555834e-17,1.0,2.754214757535691,1.0,0.038362035780301215,0.021709871539871122,0.02165557948037575,-1.8421478334521115e-16,1.0,3.247904484299233,1.0,0.15405703418665878,0.08401452157204667,0.13560819506461608,5.85539847061564e-16,1.0,2.9481725260543277,1.0,0.07699268350377936,0.045714260972789404,0.04419843625683331,0.6363380480507294,0.9437554710323603
thomas0506workout,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_biceps_curl,1,11,11,182682,182945,2.420126,1.325088,1.095038,0.5475285171102662,0.4524714828897338,0.09505703422053231,-4.05252510889791e-17,1.0,2.8372120115598998,1.0,0.02740915808946445,0.021170998152564863,0.279627297094442,1.718291610649787,0.21788515500272335,0.966473599945991,1.7320508075688772,0.06679105936635274,0.03581640503967057,-0.02327725050326717,1.5558340218325595,0.7611704779537386,2.4481569909834633,1.7320508075688772,0.04756277607936124,0.03621899747478126,0.13540759783273576,1.7057770780807955,0.3005404463531391,0.9570654146626689,1.7320508075688772,0.029947864909167385,0.017814705215591423,-0.08529680060437025,1.35084170296597e-17,0.9999999999999999,2.7061868131336206,0.9999999999999999,0.050094522746715345,0.029399408296494806,0.2067305185383575,1.0131312772244775e-16,1.0,3.552943330690632,1.0,0.21516151098978623,0.1165000502256297,0.08401819374077853,-7.429629366312834e-17,1.0,3.374277145131944,1.0,0.16884939384088818,0.09484584547136948,-0.0756014547366362,1.0131312772244775e-17,1.0,4.727544441149494,1.0,0.338370373441702,0.25226876561960365,0.05453244347989956,-1.080673362372776e-16,1.0,3.187204283703059,1.0,0.02895703903118771,0.02323600746967101,-1.5572489865102872,-5.40336681186388e-17,0.9999999999999999,3.0978843479849205,0.9999999999999999,0.040734826765420874,0.031179017506184452,-1.5889663548314517,6.75420851482985e-17,1.0,2.937011633308958,1.0,0.04084256828564798,0.02298934347377711,-0.3281997708166471,4.896801173251641e-17,1.0,3.4726704958435155,1.0,0.17453683174337895,0.09556460939275249,-0.03512423301846817,-3.917440938601313e-16,0.9999999999999998,3.2185213182827948,0.9999999999999998,0.08934400034576752,0.054119180246424356,0.04344409924708137,0.5811407912108255,0.9755920088513792
thomas0506workout,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_biceps_curl,2,0,0,188012,188265,2.328106,0.883392,1.444714,0.3794466403162055,0.6205533596837944,0.24110671936758893,-8.425407933914231e-17,1.0,2.790658704556451,1.0,0.028009333669827885,0.02194422972064819,-0.4750353851586985,1.7230779622636092,0.17607480217648622,0.8931274180498878,1.7320508075688774,0.0864838920766269,0.04805284505491384,0.016165081951212867,1.5241078682902727,0.8228579499620092,3.085098031334192,1.7320508075688772,0.05365085651053325,0.042513861572963,-0.4856187503026521,1.7110820876338162,0.2686970215292698,0.8101568630316904,1.7320508075688772,0.0241887146880074,0.0144676979022614,0.179332835538201,1.404234655652372e-16,1.0,2.6953718893492424,1.0,0.058253295342734844,0.03258284657534041,-0.5621361406585597,2.1063519834785578e-16,1.0,3.5958370627485556,1.0,0.23584722325201973,0.1358198264132079,0.04078903279667628,-4.2127039669571154e-17,1.0,3.3918983056823935,1.0,0.239414921834533,0.13237558505412106,0.19444802336659894,2.8084693113047436e-17,1.0,4.573110328695018,1.0,0.3182264355881736,0.24142090127660099,-1.0557206159096884,-5.616938622609487e-17,0.9999999999999999,3.114831653261418,0.9999999999999999,0.031692306241522486,0.025708727161650194,-1.4457383800686336,0.0,1.0,3.010350944285573,1.0,0.042095865316805654,0.034040430422298554,-1.4661760148069487,-5.616938622609487e-17,0.9999999999999999,2.847312521438282,1.0,0.039394334212768854,0.02247770626284014,0.7378332035268504,0.0,0.9999999999999999,3.3031461791672845,0.9999999999999999,0.1719442160161396,0.09646595076021457,-0.18900129634601046,-8.425407933914231e-17,0.9999999999999999,3.1502572086732727,0.9999999999999999,0.08973052805688217,0.05364409883412026,-0.26325290498030485,1.0000000000000002,1.0
thomas0506workout,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_biceps_curl,2,1,1,188265,188547,2.594964,1.0122200000000001,1.582744,0.3900709219858156,0.6099290780141844,0.2198581560283688,-1.5117930548087238e-16,1.0,2.703902301708411,1.0000000000000002,0.02486081936419151,0.019231534670979673,-0.13602193645241165,1.7234797357524647,0.17209764801011862,0.833330009779786,1.7320508075688774,0.09984086419954293,0.05032003430047664,-0.0007957982451689794,1.5026309733073158,0.8614523539102492,2.7160989577993235,1.7320508075688772,0.054241376038595426,0.04167022319344524,-0.17553733792412607,1.7075073044075668,0.2905491445432355,0.8398474207531552,1.7320508075688772,0.02252296110762178,0.012683016071825648,0.05507331750013096,1.0078620365391492e-16,0.9999999999999999,2.662306635772542,0.9999999999999999,0.05401463052304862,0.030910116743261037,-0.16203409127897347,2.519655091347873e-17,1.0,3.8678214473857624,1.0,0.30876030033215546,0.17706138298449867,0.05867445104951495,6.299137728369683e-17,1.0,4.002096174002086,1.0,0.31440814815202983,0.16174997911512323,-0.07408321607244578,-2.519655091347873e-17,1.0,5.098767857187012,1.0,0.4265197883678421,0.31980283494268585,-0.7652690341681826,0.0,1.0,3.204532338914044,1.0,0.030686595870146494,0.024339670742478323,-1.5669709756341128,0.0,1.0,3.364888991710899,1.0,0.04751941016067332,0.03830724186618064,-1.5682243662593163,-7.558965274043619e-17,1.0,2.812422219408572,1.0,0.03740282582407194,0.021652354031496127,0.157081474547492,-4.787344673560959e-16,1.0,3.285145138042285,1.0,0.16249665670066707,0.08610403270432784,-0.1395027766869409,-2.7716206004826604e-16,1.0,3.014038403462294,1.0,0.0801137872114143,0.04732585835778651,-0.1905343560368606,0.9246251886703047,0.9246251886703047
thomas0506workout,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_biceps_curl,2,2,2,188547,188821,2.521348,1.15025,1.371098,0.4562043795620438,0.5437956204379562,0.08759124087591241,-2.5932216633580298e-17,1.0,2.7034657226834047,1.0,0.02544913244201437,0.020500812793157592,-0.06806010720626364,1.723744311409662,0.1694271196793171,0.8140257623193963,1.7320508075688772,0.09329537008443681,0.045163062565979246,0.0005551755089896188,1.5365425073614603,0.7993979753985853,2.8226467620700784,1.7320508075688772,0.0544972075753612,0.04320967585172302,-0.20605652108664171,1.7101072368263657,0.2748331103671692,0.8032412787717575,1.7320508075688774,0.02836768038128329,0.01604819591767497,0.024658218796495785,1.555932998014818e-16,1.0,2.621193726994681,1.0,0.053140816612969835,0.02770646868283862,-0.05214341597538005,2.333899497022227e-16,1.0,3.804234110802745,1.0,0.21171652458259796,0.11879522269081827,0.24807765311324106,4.1491546613728477e-16,1.0,3.7880793034368674,1.0,0.2621038836417565,0.13794126315036212,-0.19602744822728882,-3.241527079197537e-17,1.0,4.66771083996253,1.0,0.422202943783349,0.29635480178911267,-0.4605766516416498,5.1864433267160596e-17,1.0,3.1235223677235053,1.0,0.03420319910645215,0.027348441883231628,-1.4332544973679093,0.0,1.0,3.007401384274546,1.0,0.04335119828181493,0.0350279872394458,-1.419295216498885,-7.77966499007409e-17,1.0,2.7891905924985103,1.0,0.037676045495784585,0.021154568403655486,0.022815724310882857,2.5932216633580297e-16,1.0,3.686324287472657,1.0,0.16931832637927302,0.09656996552641377,-0.23735742150879885,-5.964409825723468e-16,1.0,3.0455523611604685,1.0,0.10458129486900614,0.059687087617240245,-0.26211773976647085,0.9195841713674687,0.9776980702130582
