iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
0.25,2424,2424,2424,0,0,1.0,1.0,1.0,1.0
0.5,2424,2424,2424,0,0,1.0,1.0,1.0,1.0
0.75,2424,2424,2424,0,0,1.0,1.0,1.0,1.0
