iou_threshold,true_phase_segments,predicted_phase_segments,matched_phase_segments,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
0.25,4776,4848,4275,573,501,0.8818,0.8951,0.8884,0.7634
0.5,4776,4848,4010,838,766,0.8271,0.8396,0.8333,0.7858
0.75,4776,4848,2421,2427,2355,0.4994,0.5069,0.5031,0.8787
