phase,iou_threshold,true_phase_segments,predicted_phase_segments,matched_phase_segments,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
concentric,0.25,2396,2424,2139,285,257,0.8824,0.8927,0.8876,0.7693
concentric,0.5,2396,2424,2002,422,394,0.8259,0.8356,0.8307,0.7928
concentric,0.75,2396,2424,1247,1177,1149,0.5144,0.5205,0.5174,0.8796
eccentric,0.25,2380,2424,2136,288,244,0.8812,0.8975,0.8893,0.7574
eccentric,0.5,2380,2424,2008,416,372,0.8284,0.8437,0.836,0.7788
eccentric,0.75,2380,2424,1174,1250,1206,0.4843,0.4933,0.4888,0.8778
