,db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row,Other
db_bench_press,0.333006,0.115800,0.000000,0.388943,0.057900,0.072293,0.025842,0.000000,0.006215
db_biceps_curl,0.000000,0.926917,0.062700,0.000000,0.000000,0.000000,0.000000,0.000000,0.010383
db_rdl,0.000000,0.058297,0.655184,0.000000,0.030805,0.000000,0.000000,0.199735,0.055979
db_shoulder_press,0.185293,0.019111,0.000000,0.602825,0.052347,0.000000,0.135023,0.000000,0.005401
db_squat,0.000000,0.003363,0.000000,0.028163,0.852039,0.000000,0.076923,0.000000,0.039512
db_triceps_curl,0.000000,0.000000,0.000000,0.000000,0.036902,0.920114,0.036902,0.000000,0.006083
db_weighted_crunch,0.243331,0.000000,0.000000,0.040420,0.209782,0.027890,0.475344,0.000000,0.003234
one_arm_db_row,0.026993,0.029900,0.205980,0.000000,0.000000,0.000000,0.000000,0.682724,0.054402
Other,0.015319,0.033883,0.032770,0.015072,0.046605,0.017194,0.019525,0.019601,0.800032
