,db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row,Other
db_bench_press,1516,90,0,932,0,125,173,0,221
db_biceps_curl,0,2159,0,0,0,0,0,0,345
db_rdl,0,0,2085,0,0,0,0,356,578
db_shoulder_press,264,0,0,1819,0,0,125,0,199
db_squat,0,22,0,0,1579,0,183,0,595
db_triceps_curl,0,0,0,0,0,2140,91,0,235
db_weighted_crunch,547,0,0,125,303,0,1215,0,284
one_arm_db_row,0,15,565,0,0,0,0,1485,343
Other,1305,1010,1597,1099,1732,785,1412,1114,95043
