,db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row,Other
db_bench_press,65.36,1.08,0.00,20.15,0.07,0.29,5.82,0.00,7.23
db_biceps_curl,0.52,85.58,0.00,0.04,0.00,0.08,0.00,0.00,13.78
db_rdl,0.00,0.00,65.39,0.00,0.00,0.00,0.00,15.47,19.15
db_shoulder_press,13.92,0.00,0.00,70.21,5.44,0.08,2.08,0.00,8.27
db_squat,0.17,1.77,0.00,0.88,71.79,0.00,0.38,0.00,25.01
db_triceps_curl,0.00,0.12,0.00,0.04,0.00,89.86,0.20,0.24,9.53
db_weighted_crunch,5.62,4.73,4.12,8.73,0.93,0.69,63.70,0.00,11.48
one_arm_db_row,1.20,1.37,28.78,0.00,0.00,0.00,0.00,54.40,14.24
Other,1.35,1.12,1.67,1.07,1.80,0.77,0.85,0.93,90.43
