,db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row,Other
db_bench_press,49.59,2.94,0.00,30.49,0.00,4.09,5.66,0.00,7.23
db_biceps_curl,0.00,86.22,0.00,0.00,0.00,0.00,0.00,0.00,13.78
db_rdl,0.00,0.00,69.06,0.00,0.00,0.00,0.00,11.79,19.15
db_shoulder_press,10.97,0.00,0.00,75.57,0.00,0.00,5.19,0.00,8.27
db_squat,0.00,0.92,0.00,0.00,66.37,0.00,7.69,0.00,25.01
db_triceps_curl,0.00,0.00,0.00,0.00,0.00,86.78,3.69,0.00,9.53
db_weighted_crunch,22.11,0.00,0.00,5.05,12.25,0.00,49.11,0.00,11.48
one_arm_db_row,0.00,0.62,23.46,0.00,0.00,0.00,0.00,61.67,14.24
Other,1.24,0.96,1.52,1.05,1.65,0.75,1.34,1.06,90.43
