class,support,correct,class_accuracy_recall,precision,recall,f1_score
1-2,0,0,0.0,0.0,0.0,0.0
3-4,2,0,0.0,0.0,0.0,0.0
5-6,22,10,0.45454545454545453,0.5,0.45454545454545453,0.47619047619047616
7-8,35,24,0.6857142857142857,0.43636363636363634,0.6857142857142857,0.5333333333333333
9-10,37,17,0.4594594594594595,0.8095238095238095,0.4594594594594595,0.5862068965517241
