dataset,model_stage,fold,val_subject,n_features,n,mae,rmse,r2,spearman,rounded_pm1_acc
rpe_vo2_lag45_96_sets,M0_global_mean,3,yoru0511workout,0,24,1.8796296296296295,2.2594110452958613,-1.3867243867243868,,0.4583333333333333
rpe_vo2_lag45_96_sets,M0_global_mean,4,yushuan0513workout,0,24,1.329861111111111,1.5234154893155116,-0.0930317070954847,,0.625
rpe_vo2_lag45_96_sets,M1_exercise_mean,1,haoyu0512workout,0,24,1.3055555555555554,1.4979409736347515,-1.2595182595182592,0.40636303325058964,0.5833333333333334
rpe_vo2_lag45_96_sets,M1_exercise_mean,2,yanz0510workout,0,24,1.212962962962963,1.4304881321759702,-0.02403706921517501,0.28347438782872936,0.6666666666666666
rpe_vo2_lag45_96_sets,M1_exercise_mean,3,yoru0511workout,0,24,1.7870370370370372,2.213176031893566,-1.290043290043291,0.4399194459951265,0.4583333333333333
rpe_vo2_lag45_96_sets,M1_exercise_mean,4,yushuan0513workout,0,24,1.1851851851851851,1.4624940645653537,-0.007358953393295176,0.20478790122679258,0.7083333333333334
rpe_vo2_lag45_96_sets,M2_set_index_no_exercise,1,haoyu0512workout,1,24,1.3291073218462126,1.4815826256870424,-1.2104373360155969,0.4895344243946293,0.5833333333333334
rpe_vo2_lag45_96_sets,M2_set_index_no_exercise,2,yanz0510workout,1,24,0.9769301756936642,1.2325622589433722,0.23973518681943096,0.5454458995832048,0.7916666666666666
rpe_vo2_lag45_96_sets,M2_set_index_no_exercise,3,yoru0511workout,1,24,1.8808739470193154,2.2496127843698908,-1.366068525527484,0.48137546911973134,0.5416666666666666
rpe_vo2_lag45_96_sets,M2_set_index_no_exercise,4,yushuan0513workout,1,24,1.2060607908753582,1.404838067122455,0.07050178493398152,0.5288256534240369,0.625
rpe_vo2_lag45_96_sets,M3_exercise_plus_set_index,1,haoyu0512workout,9,24,1.376199380264601,1.6117934532129028,-1.6160451157907425,0.5152553030284454,0.5416666666666666
rpe_vo2_lag45_96_sets,M3_exercise_plus_set_index,2,yanz0510workout,9,24,0.9799773610296102,1.1709485992476047,0.31384406749084404,0.5889437413959605,0.8333333333333334
rpe_vo2_lag45_96_sets,M3_exercise_plus_set_index,3,yoru0511workout,9,24,1.8136856404402886,2.187790500612486,-1.237810154344524,0.5506218867704709,0.4583333333333333
rpe_vo2_lag45_96_sets,M3_exercise_plus_set_index,4,yushuan0513workout,9,24,1.050572580388434,1.4649982498174146,-0.010811648612934377,0.45190733288036095,0.8333333333333334
rpe_vo2_lag45_96_sets,M4_exercise_plus_cumulative_tut,1,haoyu0512workout,9,24,0.9505661516406202,1.2327811843963818,-0.5303770671234367,0.5863062974460521,0.7916666666666666
rpe_vo2_lag45_96_sets,M4_exercise_plus_cumulative_tut,2,yanz0510workout,9,24,0.9466707543542004,1.09151956857801,0.4037749592466501,0.7399549571385146,0.8333333333333334
rpe_vo2_lag45_96_sets,M4_exercise_plus_cumulative_tut,3,yoru0511workout,9,24,1.425596376773773,1.779815277609285,-0.4810224312572857,0.6638546134853662,0.5
rpe_vo2_lag45_96_sets,M4_exercise_plus_cumulative_tut,4,yushuan0513workout,9,24,0.9089016025906017,1.3431768963377229,0.15030619401738976,0.497098066168397,0.7916666666666666
rpe_vo2_lag45_96_sets,M5_plus_lowdim_imu_group,1,haoyu0512workout,15,24,1.091983650182658,1.4228260735622458,-1.0385909169764491,0.5754588173822953,0.75
rpe_vo2_lag45_96_sets,M5_plus_lowdim_imu_group,2,yanz0510workout,15,24,1.0186014942322499,1.2595547346700264,0.20607176136690164,0.6249199427934513,0.75
rpe_vo2_lag45_96_sets,M5_plus_lowdim_imu_group,3,yoru0511workout,15,24,1.4788809819362811,1.7885544619482276,-0.4956022633867132,0.7291299500621882,0.5
rpe_vo2_lag45_96_sets,M5_plus_lowdim_imu_group,4,yushuan0513workout,15,24,0.866469071235931,1.2365110172600309,0.279901333128429,0.5453901242899257,0.8333333333333334
rpe_vo2_lag45_96_sets,M6_plus_delayed_vo2,1,haoyu0512workout,18,24,1.1045411773802076,1.4230569450568444,-1.0392525448806342,0.5754588173822953,0.7916666666666666
rpe_vo2_lag45_96_sets,M6_plus_delayed_vo2,2,yanz0510workout,18,24,1.3163326307866257,1.6867691285375404,-0.42383101091284225,0.4792385346653404,0.5833333333333334
rpe_vo2_lag45_96_sets,M6_plus_delayed_vo2,3,yoru0511workout,18,24,1.6697544010805971,1.9721822493620118,-0.818468853105841,0.7406752476880205,0.4583333333333333
rpe_vo2_lag45_96_sets,M6_plus_delayed_vo2,4,yushuan0513workout,18,24,0.8672595568808602,1.2877638367119595,0.21896863229237173,0.5684285373387284,0.8333333333333334
