,啞鈴臥推,啞鈴二頭彎舉,啞鈴羅馬尼亞硬舉,啞鈴肩推,啞鈴深蹲,啞鈴三頭伸展,負重捲腹,單臂啞鈴划船
啞鈴臥推,0.679097,0.035002,0.000000,0.179915,0.000000,0.000000,0.105986,0.000000
啞鈴二頭彎舉,0.000000,0.917732,0.053115,0.000000,0.000000,0.000000,0.000000,0.029153
啞鈴羅馬尼亞硬舉,0.000000,0.000000,0.771116,0.000000,0.000000,0.000000,0.000000,0.228884
啞鈴肩推,0.219360,0.000000,0.000000,0.594931,0.000000,0.000000,0.185708,0.000000
啞鈴深蹲,0.000000,0.000000,0.000000,0.000000,0.965532,0.000000,0.034468,0.000000
啞鈴三頭伸展,0.031630,0.000000,0.000000,0.000000,0.029603,0.912003,0.026764,0.000000
負重捲腹,0.223120,0.000000,0.000000,0.083670,0.000000,0.111156,0.582053,0.000000
單臂啞鈴划船,0.083472,0.000000,0.125831,0.000000,0.000000,0.000000,0.000000,0.790698
