,db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row
db_bench_press,0.721623,0.022898,0.000000,0.172718,0.000000,0.001963,0.079490,0.001308
db_biceps_curl,0.000000,0.990815,0.002396,0.003195,0.001198,0.000799,0.000000,0.001597
db_rdl,0.005962,0.000000,0.763829,0.000000,0.000331,0.000000,0.000000,0.229877
db_shoulder_press,0.183216,0.000831,0.000000,0.589946,0.057748,0.002493,0.165767,0.000000
db_squat,0.001261,0.018916,0.000000,0.013451,0.962169,0.000000,0.004203,0.000000
db_triceps_curl,0.004866,0.001622,0.000000,0.000000,0.000811,0.987429,0.003244,0.002028
db_weighted_crunch,0.113985,0.001213,0.000000,0.062247,0.021827,0.007276,0.793452,0.000000
one_arm_db_row,0.081395,0.002076,0.215532,0.000000,0.000000,0.000000,0.000000,0.700997
