,啞鈴臥推,啞鈴二頭彎舉,啞鈴羅馬尼亞硬舉,啞鈴肩推,啞鈴深蹲,啞鈴三頭伸展,負重捲腹,單臂啞鈴划船
啞鈴臥推,0.722277,0.005561,0.000327,0.252535,0.000981,0.002944,0.014720,0.000654
啞鈴二頭彎舉,0.000399,0.988419,0.003195,0.002396,0.000000,0.005192,0.000000,0.000399
啞鈴羅馬尼亞硬舉,0.000000,0.000000,0.753892,0.000000,0.000331,0.000000,0.000000,0.245777
啞鈴肩推,0.176568,0.000415,0.000000,0.619028,0.043623,0.007478,0.152887,0.000000
啞鈴深蹲,0.000000,0.021017,0.000000,0.005885,0.968054,0.000841,0.004203,0.000000
啞鈴三頭伸展,0.005677,0.000000,0.000000,0.002028,0.000000,0.987835,0.001217,0.003244
負重捲腹,0.072757,0.002829,0.000000,0.159256,0.054163,0.004042,0.706952,0.000000
單臂啞鈴划船,0.059801,0.019934,0.263704,0.000000,0.000000,0.000000,0.000000,0.656561
