,臥推,二頭彎舉,RDL,肩推,深蹲,三頭伸展,負重捲腹,單臂划船
臥推,80.01,0.16,0.00,10.44,0.00,0.00,9.39,0.00
二頭彎舉,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
RDL,0.00,0.00,78.87,0.00,0.00,0.00,0.00,21.13
肩推,18.94,0.00,0.00,62.86,3.49,0.00,14.71,0.00
深蹲,0.00,3.11,0.00,0.00,96.89,0.00,0.00,0.00
三頭伸展,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
負重捲腹,10.19,0.00,0.00,4.45,0.00,0.00,85.37,0.00
單臂划船,8.35,0.00,23.30,0.00,0.00,0.00,0.00,68.36
