mode,k,acc,bal,macro,min,recall_db_bench_press,recall_db_biceps_curl,recall_db_rdl,recall_db_shoulder_press,recall_db_squat,recall_db_triceps_curl,recall_db_weighted_crunch,recall_one_arm_db_row
base_post_vote,11,0.8314666409191851,0.8337038454658583,0.8336719634016607,0.7033038927052666,0.7033038927052666,1.0,0.8744617422987744,0.7095970087245533,0.9655317360235393,1.0,0.7045270816491511,0.7122093023255814
base_post_vote,10,0.8313218113353288,0.8335522690713555,0.8325440887520694,0.7033038927052666,0.7033038927052666,1.0,0.8744617422987744,0.7095970087245533,0.9655317360235393,1.0,0.7033144704931286,0.7122093023255814
post_pred,7,0.852563483634257,0.853400239741372,0.8537303025443398,0.6875778977980889,0.788027477919529,1.0,0.8744617422987744,0.6875778977980889,0.9655317360235393,1.0,0.7433306386418755,0.7682724252491694
post_pred,9,0.846866853335908,0.8479433100186892,0.8481850644361966,0.6835548172757475,0.7638207392868825,1.0,0.8744617422987744,0.7095970087245533,0.9655317360235393,1.0,0.7865804365400162,0.6835548172757475
post_pred,8,0.8452737279134884,0.8455629276105023,0.8463497769940296,0.6835548172757475,0.788027477919529,1.0,0.8744617422987744,0.7095970087245533,0.9655317360235393,1.0,0.7433306386418755,0.6835548172757475
post_pred,21,0.8366322294100609,0.8404857627334412,0.8399702651918299,0.6835548172757475,0.7379784102060843,1.0,0.7886717456111295,0.6992106356460324,1.0,1.0,0.8144704931285368,0.6835548172757475
post_pred,22,0.8366322294100609,0.8404857627334412,0.8399702651918299,0.6835548172757475,0.7379784102060843,1.0,0.7886717456111295,0.6992106356460324,1.0,1.0,0.8144704931285368,0.6835548172757475
post_pred,23,0.8366322294100609,0.8404857627334412,0.8399702651918299,0.6835548172757475,0.7379784102060843,1.0,0.7886717456111295,0.6992106356460324,1.0,1.0,0.8144704931285368,0.6835548172757475
post_pred,24,0.8366322294100609,0.8404857627334412,0.8399702651918299,0.6835548172757475,0.7379784102060843,1.0,0.7886717456111295,0.6992106356460324,1.0,1.0,0.8144704931285368,0.6835548172757475
post_pred,11,0.8380322487206721,0.8394583705408246,0.8387307082462483,0.6835548172757475,0.7379784102060843,1.0,0.8744617422987744,0.7095970087245533,0.9655317360235393,1.0,0.7445432497978981,0.6835548172757475
post_pred,12,0.8380322487206721,0.8394583705408246,0.8387307082462483,0.6835548172757475,0.7379784102060843,1.0,0.8744617422987744,0.7095970087245533,0.9655317360235393,1.0,0.7445432497978981,0.6835548172757475
post_pred,25,0.8315149174471372,0.8361514480458391,0.8352435966711922,0.6835548172757475,0.7033038927052666,1.0,0.7886717456111295,0.6992106356460324,1.0,1.0,0.8144704931285368,0.6835548172757475
base_post_vote,12,0.8332528724534132,0.8344563495222312,0.8347868314918652,0.6835548172757475,0.7379784102060843,1.0,0.8744617422987744,0.7095970087245533,0.9655317360235393,1.0,0.7045270816491511,0.6835548172757475
post_pred,13,0.8255286279810756,0.8287346209548689,0.8273547339456953,0.6835548172757475,0.7379784102060843,1.0,0.7886717456111295,0.7095970087245533,0.9655317360235393,1.0,0.7445432497978981,0.6835548172757475
post_pred,14,0.8255286279810756,0.8287346209548689,0.8273547339456953,0.6835548172757475,0.7379784102060843,1.0,0.7886717456111295,0.7095970087245533,0.9655317360235393,1.0,0.7445432497978981,0.6835548172757475
post_pred,15,0.8255286279810756,0.8287346209548689,0.8273547339456953,0.6835548172757475,0.7379784102060843,1.0,0.7886717456111295,0.7095970087245533,0.9655317360235393,1.0,0.7445432497978981,0.6835548172757475
post_pred,17,0.8228251424157574,0.8271096578779598,0.8256613792281491,0.6835548172757475,0.6970886490022898,1.0,0.7886717456111295,0.7095970087245533,0.9655317360235393,1.0,0.7724333063864187,0.6835548172757475
base_post_vote,13,0.8229699719996137,0.825637204109843,0.8254289503410217,0.6835548172757475,0.7379784102060843,1.0,0.8039085789996687,0.7095970087245533,0.9655317360235393,1.0,0.7045270816491511,0.6835548172757475
