,臥推,二頭彎舉,RDL,肩推,深蹲,三頭伸展,負重捲腹,單臂划船
臥推,72.29,5.92,0.00,18.16,0.00,0.00,3.63,0.00
二頭彎舉,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
RDL,0.00,0.00,87.45,0.00,0.00,0.00,0.00,12.55
肩推,14.33,0.00,0.00,68.76,0.00,0.00,16.91,0.00
深蹲,0.00,0.00,0.00,0.00,96.55,0.00,3.45,0.00
三頭伸展,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
負重捲腹,10.19,0.00,0.00,12.69,0.00,2.79,74.33,0.00
單臂划船,8.35,0.00,14.83,0.00,0.00,0.00,0.00,76.83
