,啞鈴臥推,啞鈴二頭彎舉,啞鈴羅馬尼亞硬舉,啞鈴肩推,啞鈴深蹲,啞鈴三頭伸展,負重捲腹,單臂啞鈴划船
啞鈴臥推,0.596991,0.035002,0.000000,0.280994,0.000000,0.000000,0.087013,0.000000
啞鈴二頭彎舉,0.000000,0.946885,0.053115,0.000000,0.000000,0.000000,0.000000,0.000000
啞鈴羅馬尼亞硬舉,0.000000,0.000000,0.771116,0.000000,0.000000,0.000000,0.000000,0.228884
啞鈴肩推,0.268799,0.016618,0.000000,0.594931,0.000000,0.000000,0.119651,0.000000
啞鈴深蹲,0.000000,0.000000,0.000000,0.028163,0.937369,0.000000,0.034468,0.000000
啞鈴三頭伸展,0.031630,0.000000,0.000000,0.000000,0.029603,0.912003,0.026764,0.000000
負重捲腹,0.265562,0.000000,0.000000,0.094584,0.000000,0.111156,0.528698,0.000000
單臂啞鈴划船,0.028654,0.000000,0.180648,0.000000,0.000000,0.000000,0.000000,0.790698
