,db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row
db_bench_press,0.697416,0.000000,0.000000,0.302584,0.000000,0.000000,0.000000,0.000000
db_biceps_curl,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
db_rdl,0.000000,0.000000,0.874462,0.000000,0.000000,0.000000,0.000000,0.125538
db_shoulder_press,0.143332,0.000000,0.000000,0.709597,0.000000,0.000000,0.147071,0.000000
db_squat,0.000000,0.000000,0.000000,0.000000,0.965532,0.000000,0.034468,0.000000
db_triceps_curl,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
db_weighted_crunch,0.070331,0.000000,0.000000,0.255457,0.000000,0.027890,0.646322,0.000000
one_arm_db_row,0.000000,0.050664,0.274917,0.000000,0.000000,0.000000,0.000000,0.674419
