,臥推,二頭彎舉,RDL,肩推,深蹲,三頭伸展,負重捲腹,單臂划船
臥推,72.16,2.29,0.00,17.27,0.00,0.20,7.95,0.13
二頭彎舉,0.00,99.08,0.24,0.32,0.12,0.08,0.00,0.16
RDL,0.60,0.00,76.38,0.00,0.03,0.00,0.00,22.99
肩推,18.32,0.08,0.00,58.99,5.77,0.25,16.58,0.00
深蹲,0.13,1.89,0.00,1.35,96.22,0.00,0.42,0.00
三頭伸展,0.49,0.16,0.00,0.00,0.08,98.74,0.32,0.20
負重捲腹,11.40,0.12,0.00,6.22,2.18,0.73,79.35,0.00
單臂划船,8.14,0.21,21.55,0.00,0.00,0.00,0.00,70.10
