,db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row
db_bench_press,59.70,3.50,0.00,28.10,0.00,0.00,8.70,0.00
db_biceps_curl,0.00,94.69,5.31,0.00,0.00,0.00,0.00,0.00
db_rdl,0.00,0.00,77.11,0.00,0.00,0.00,0.00,22.89
db_shoulder_press,26.88,1.66,0.00,59.49,0.00,0.00,11.97,0.00
db_squat,0.00,0.00,0.00,2.82,93.74,0.00,3.45,0.00
db_triceps_curl,3.16,0.00,0.00,0.00,2.96,91.20,2.68,0.00
db_weighted_crunch,26.56,0.00,0.00,9.46,0.00,11.12,52.87,0.00
one_arm_db_row,2.87,0.00,18.06,0.00,0.00,0.00,0.00,79.07
