,db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row
db_bench_press,0.621197,0.000000,0.000000,0.378803,0.000000,0.000000,0.000000,0.000000
db_biceps_curl,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
db_rdl,0.000000,0.000000,0.843326,0.000000,0.000000,0.000000,0.000000,0.156674
db_shoulder_press,0.192771,0.000000,0.000000,0.687578,0.000000,0.000000,0.119651,0.000000
db_squat,0.000000,0.000000,0.000000,0.000000,0.965532,0.000000,0.034468,0.000000
db_triceps_curl,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
db_weighted_crunch,0.101859,0.000000,0.000000,0.252223,0.000000,0.027890,0.618027,0.000000
one_arm_db_row,0.000000,0.000000,0.223422,0.000000,0.000000,0.000000,0.000000,0.776578
