,臥推,二頭彎舉,RDL,肩推,深蹲,三頭伸展,負重捲腹,單臂划船
臥推,77.98,0.00,0.00,22.02,0.00,0.00,0.00,0.00
二頭彎舉,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
RDL,0.00,0.00,75.75,0.00,0.00,0.00,0.00,24.25
肩推,18.94,0.00,0.00,62.86,3.49,0.00,14.71,0.00
深蹲,0.00,3.11,0.00,0.00,96.89,0.00,0.00,0.00
三頭伸展,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
負重捲腹,10.19,0.00,0.00,12.77,0.00,0.00,77.04,0.00
單臂划船,8.35,0.00,23.30,0.00,0.00,0.00,0.00,68.36
