,啞鈴臥推,啞鈴二頭彎舉,啞鈴羅馬尼亞硬舉,啞鈴肩推,啞鈴深蹲,啞鈴三頭伸展,負重捲腹,單臂啞鈴划船
啞鈴臥推,0.621197,0.000000,0.000000,0.378803,0.000000,0.000000,0.000000,0.000000
啞鈴二頭彎舉,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
啞鈴羅馬尼亞硬舉,0.000000,0.000000,0.757536,0.000000,0.000000,0.000000,0.000000,0.242464
啞鈴肩推,0.228500,0.000000,0.000000,0.621521,0.000000,0.000000,0.149979,0.000000
啞鈴深蹲,0.000000,0.000000,0.000000,0.000000,0.965532,0.000000,0.034468,0.000000
啞鈴三頭伸展,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
負重捲腹,0.178658,0.000000,0.000000,0.294665,0.000000,0.027890,0.498787,0.000000
單臂啞鈴划船,0.000000,0.000000,0.092608,0.000000,0.000000,0.000000,0.000000,0.907392
