class,support,correct,class_accuracy_recall,precision,recall,f1_score
1-2,0,0,0.0,0.0,0.0,0.0
3-4,2,0,0.0,0.0,0.0,0.0
5-6,22,10,0.45454545454545453,0.5882352941176471,0.45454545454545453,0.5128205128205128
7-8,35,26,0.7428571428571429,0.45614035087719296,0.7428571428571429,0.5652173913043478
9-10,37,18,0.4864864864864865,0.8181818181818182,0.4864864864864865,0.6101694915254238
