class,support,correct,class_accuracy_recall,precision,recall,f1_score
1-2,0,0,0.0,0.0,0.0,0.0
3-4,10,0,0.0,0.0,0.0,0.0
5-6,36,15,0.4166666666666667,0.375,0.4166666666666667,0.39473684210526316
7-8,49,35,0.7142857142857143,0.4605263157894737,0.7142857142857143,0.56
9-10,48,20,0.4166666666666667,0.7407407407407407,0.4166666666666667,0.5333333333333333
