exercise,signal,method,sets,mean_abs_error,median_abs_error,p80_abs_error,median_relative_abs_error,within_10_percent,within_20_percent
db_squat,pca_motion,autocorr,24,360.0417,7.0,12.2,0.0214,0.9167,0.9167
db_squat,acc_magnitude,autocorr,24,879.2917,7.0,44.6,0.0222,0.7917,0.8333
db_squat,pca_motion,fft,24,84.3296,6.5833,15.8545,0.0225,0.9167,0.9167
db_squat,abs_pca_motion,autocorr,24,473.75,8.5,24.0,0.0295,0.8333,0.8333
db_squat,abs_pca_motion,fft,24,463.4998,9.5,133.9756,0.0314,0.7083,0.7083
db_squat,motion_energy,autocorr,24,466.9583,9.0,352.6,0.032,0.625,0.625
db_squat,gyro_magnitude,autocorr,24,396.5833,14.0,249.6,0.044,0.6667,0.6667
db_squat,acc_magnitude,fft,24,1195.3844,16.0,628.8909,0.0484,0.625,0.625
db_squat,motion_energy,fft,24,558.0647,18.1364,226.0333,0.0544,0.7083,0.7083
db_squat,pca_velocity,fft,24,529.6122,18.1364,261.7333,0.0544,0.7083,0.7083
db_squat,transition_energy,fft,24,483.1586,20.0673,165.4527,0.0627,0.5833,0.6667
db_squat,pca_velocity,autocorr,24,547.7083,31.5,712.2,0.1037,0.5,0.5417
db_squat,gyro_magnitude,fft,24,614.4033,154.8422,183.4304,0.4976,0.0833,0.0833
db_squat,transition_energy,autocorr,24,634.5833,149.5,757.0,0.5116,0.4583,0.5
db_triceps_curl,pca_motion,autocorr,26,30.5577,5.0,10.0,0.0166,0.9231,0.9615
db_triceps_curl,pca_motion,fft,26,9.6604,5.9205,15.0,0.0216,0.9615,1.0
db_triceps_curl,gyro_magnitude,autocorr,26,75.8654,7.5,154.0,0.0244,0.6154,0.6538
db_triceps_curl,motion_energy,autocorr,26,196.1731,9.0,55.0,0.0263,0.7692,0.7692
db_triceps_curl,abs_pca_motion,autocorr,26,171.5962,9.5,155.0,0.0264,0.5385,0.5769
db_triceps_curl,transition_energy,autocorr,26,149.8269,8.0,182.0,0.0271,0.6923,0.6923
db_triceps_curl,acc_magnitude,autocorr,26,130.4423,9.0,151.0,0.0271,0.6154,0.6154
db_triceps_curl,pca_velocity,autocorr,26,197.8654,9.5,157.0,0.0339,0.6923,0.6923
db_triceps_curl,motion_energy,fft,26,177.6437,12.8334,136.2381,0.0462,0.6923,0.6923
db_triceps_curl,transition_energy,fft,26,129.7927,12.8334,136.2381,0.0462,0.6538,0.6538
db_triceps_curl,pca_velocity,fft,26,132.0893,53.5416,156.5,0.1463,0.4615,0.5385
db_triceps_curl,gyro_magnitude,fft,26,109.1143,126.7672,156.5,0.4838,0.2692,0.2692
db_triceps_curl,abs_pca_motion,fft,26,121.6542,131.2955,164.8519,0.4856,0.1923,0.1923
db_triceps_curl,acc_magnitude,fft,26,140.1666,134.7432,164.8519,0.4856,0.0385,0.0385
db_weighted_crunch,pca_motion,fft,25,10.0888,6.6364,16.5667,0.0178,0.96,1.0
db_weighted_crunch,pca_motion,autocorr,25,19.68,8.0,15.2,0.0242,0.96,0.96
db_weighted_crunch,acc_magnitude,autocorr,25,71.84,10.0,40.0,0.029,0.76,0.88
db_weighted_crunch,abs_pca_motion,autocorr,25,195.76,14.0,283.4,0.0393,0.68,0.72
db_weighted_crunch,transition_energy,autocorr,25,261.36,13.0,540.4,0.0419,0.64,0.68
db_weighted_crunch,gyro_magnitude,autocorr,25,125.48,13.0,186.6,0.0445,0.64,0.68
db_weighted_crunch,motion_energy,autocorr,25,217.92,16.0,379.8,0.0479,0.64,0.68
db_weighted_crunch,acc_magnitude,fft,25,69.4091,19.6364,157.4348,0.0522,0.6,0.64
db_weighted_crunch,motion_energy,fft,25,142.2777,19.6364,141.4173,0.0522,0.6,0.6
db_weighted_crunch,transition_energy,fft,25,134.3252,19.6364,153.1348,0.0522,0.56,0.56
db_weighted_crunch,abs_pca_motion,fft,25,81.1907,22.0,179.6887,0.0849,0.56,0.56
db_weighted_crunch,pca_velocity,autocorr,25,336.64,182.0,703.4,0.4715,0.44,0.48
db_weighted_crunch,pca_velocity,fft,25,178.6275,128.375,190.5334,0.4841,0.4,0.44
db_weighted_crunch,gyro_magnitude,fft,25,112.8444,133.6087,180.1894,0.4841,0.28,0.28
one_arm_db_row,acc_magnitude,fft,26,3.7353,3.1742,5.0833,0.0111,1.0,1.0
one_arm_db_row,pca_motion,fft,26,20.5983,3.1742,7.25,0.0111,0.8846,0.8846
one_arm_db_row,motion_energy,fft,26,8.2081,3.2576,5.5455,0.0116,0.9615,0.9615
one_arm_db_row,pca_velocity,fft,26,9.0929,3.375,7.25,0.0122,0.9615,0.9615
one_arm_db_row,transition_energy,fft,26,38.0749,3.375,7.25,0.0122,0.9231,0.9231
one_arm_db_row,abs_pca_motion,fft,26,24.9652,3.4584,8.0,0.0126,0.8462,0.8462
one_arm_db_row,gyro_magnitude,fft,26,41.9855,3.6666,116.7083,0.0137,0.7308,0.7308
one_arm_db_row,transition_energy,autocorr,26,40.8077,4.0,10.0,0.0143,0.9231,0.9231
one_arm_db_row,acc_magnitude,autocorr,26,21.4231,4.5,8.0,0.0162,0.9615,0.9615
one_arm_db_row,pca_motion,autocorr,26,14.2692,5.0,9.0,0.0171,0.9615,0.9615
one_arm_db_row,motion_energy,autocorr,26,13.9615,4.0,10.0,0.0174,0.9615,0.9615
one_arm_db_row,abs_pca_motion,autocorr,26,30.6923,6.0,10.0,0.0224,0.9231,0.9231
one_arm_db_row,gyro_magnitude,autocorr,26,21.4615,6.0,15.0,0.0238,0.9231,0.9231
one_arm_db_row,pca_velocity,autocorr,26,35.5769,7.5,13.0,0.0247,0.8846,0.8846
