subject,feature,objective,boundaries,mean_abs_error,median_abs_error,p80_abs_error,p90_abs_error,within_25_samples,within_50_samples,within_100_samples
haoyu0512workout,transition_energy_max_s21_e51,max,265,68.8038,65.0,114.0,127.2,0.1962,0.4453,0.6906
haoyu0512workout,transition_energy_max_s21_e81,max,265,77.0717,74.0,119.0,131.0,0.0792,0.3321,0.6453
haoyu0512workout,transition_energy_max_s51_e21,max,265,69.7283,76.0,118.0,128.6,0.2906,0.3887,0.6528
haoyu0512workout,transition_energy_max_s51_e51,max,265,76.4453,82.0,118.2,130.0,0.2,0.3057,0.6189
haoyu0512workout,transition_energy_max_s51_e81,max,265,73.4981,68.0,117.0,131.0,0.1245,0.4151,0.6679
haoyu0512workout,transition_energy_max_s9_e21,max,265,67.4151,61.0,117.4,129.0,0.2717,0.4528,0.717
haoyu0512workout,transition_energy_max_s9_e51,max,265,72.4679,72.0,117.0,131.0,0.1887,0.4038,0.683
haoyu0512workout,transition_energy_max_s9_e81,max,265,76.2302,71.0,119.0,131.0,0.1245,0.3396,0.6264
hsianshun0514workout,acc_jerk_max_s21_e21,max,266,76.5902,79.0,110.0,125.0,0.1241,0.2519,0.7068
hsianshun0514workout,acc_jerk_max_s21_e51,max,266,81.703,84.5,115.0,128.0,0.1203,0.2256,0.6654
hsianshun0514workout,acc_jerk_max_s21_e81,max,266,84.8722,89.5,116.0,128.0,0.1053,0.2143,0.6541
hsianshun0514workout,acc_jerk_max_s51_e21,max,266,72.2406,76.0,99.0,111.0,0.1128,0.2556,0.8083
hsianshun0514workout,acc_jerk_max_s51_e51,max,266,77.4023,79.5,108.0,124.0,0.0752,0.2105,0.7444
hsianshun0514workout,acc_jerk_max_s51_e81,max,266,82.2782,84.0,111.0,126.0,0.1015,0.1654,0.6992
hsianshun0514workout,acc_jerk_max_s9_e21,max,266,73.8647,78.0,109.0,121.0,0.1617,0.2744,0.718
hsianshun0514workout,acc_jerk_max_s9_e51,max,266,77.1805,82.5,112.0,126.0,0.1654,0.2481,0.7143
hsianshun0514workout,acc_jerk_max_s9_e81,max,266,82.2105,89.0,115.0,128.0,0.1278,0.2368,0.6654
hsianshun0514workout,acc_magnitude_min_s21,min,266,45.7293,38.0,73.0,103.0,0.3195,0.6617,0.8947
hsianshun0514workout,acc_magnitude_min_s51,min,266,45.2218,35.0,82.0,103.0,0.3835,0.6391,0.8872
hsianshun0514workout,acc_magnitude_min_s9,min,266,45.6579,37.5,73.0,98.5,0.3045,0.6579,0.9023
hsianshun0514workout,gyro_jerk_max_s21_e21,max,266,78.2519,78.0,113.0,128.0,0.1165,0.2594,0.6917
hsianshun0514workout,gyro_jerk_max_s21_e51,max,266,83.4586,84.0,112.0,130.0,0.0789,0.1992,0.6429
hsianshun0514workout,gyro_jerk_max_s21_e81,max,266,85.4737,84.0,116.0,128.0,0.0789,0.1466,0.6391
hsianshun0514workout,gyro_jerk_max_s51_e21,max,266,67.7782,68.0,104.0,117.0,0.1805,0.3534,0.7707
hsianshun0514workout,gyro_jerk_max_s51_e51,max,266,67.7669,68.0,105.0,120.5,0.1579,0.3684,0.7744
hsianshun0514workout,gyro_jerk_max_s51_e81,max,266,75.8233,74.0,110.0,127.0,0.0827,0.2669,0.7293
hsianshun0514workout,gyro_jerk_max_s9_e21,max,266,76.6541,80.0,110.0,124.5,0.1165,0.2444,0.718
hsianshun0514workout,gyro_jerk_max_s9_e51,max,266,80.3797,84.0,112.0,126.5,0.1316,0.218,0.6654
hsianshun0514workout,gyro_jerk_max_s9_e81,max,266,85.2293,89.0,116.0,128.0,0.094,0.1767,0.6165
hsianshun0514workout,gyro_magnitude_min_s21,min,266,35.2481,23.0,60.0,87.5,0.5451,0.7368,0.9211
hsianshun0514workout,gyro_magnitude_min_s51,min,266,32.0602,21.0,54.0,76.5,0.5602,0.7932,0.9474
hsianshun0514workout,gyro_magnitude_min_s9,min,266,36.3383,23.0,63.0,94.5,0.5376,0.7331,0.9211
hsianshun0514workout,motion_energy_min_s21_e21,min,266,38.0263,26.5,71.0,90.5,0.4925,0.6992,0.9211
hsianshun0514workout,motion_energy_min_s21_e51,min,266,37.8647,26.0,67.0,91.0,0.4962,0.6842,0.9248
hsianshun0514workout,motion_energy_min_s21_e81,min,266,38.2444,27.0,70.0,89.5,0.485,0.6842,0.9211
hsianshun0514workout,motion_energy_min_s51_e21,min,266,39.188,27.0,70.0,92.0,0.485,0.6767,0.9248
hsianshun0514workout,motion_energy_min_s51_e51,min,266,39.3195,28.0,72.0,92.0,0.4662,0.6805,0.9173
hsianshun0514workout,motion_energy_min_s51_e81,min,266,39.6654,28.0,70.0,94.0,0.4624,0.6729,0.9248
hsianshun0514workout,motion_energy_min_s9_e21,min,266,39.3459,27.5,69.0,96.5,0.4812,0.6805,0.9135
hsianshun0514workout,motion_energy_min_s9_e51,min,266,39.406,26.0,71.0,96.0,0.4887,0.6654,0.9248
hsianshun0514workout,motion_energy_min_s9_e81,min,266,40.406,26.0,73.0,99.5,0.4925,0.6729,0.906
hsianshun0514workout,pca_extreme_max_s21,max,266,78.5075,76.5,115.0,130.0,0.0752,0.2556,0.688
hsianshun0514workout,pca_extreme_max_s51,max,266,79.3346,78.0,116.0,129.5,0.0714,0.2519,0.703
hsianshun0514workout,pca_extreme_max_s9,max,266,77.8083,77.0,111.0,128.0,0.0752,0.2556,0.7068
hsianshun0514workout,pca_velocity_min_s21_e21,min,266,38.7481,28.5,69.0,85.0,0.4774,0.6917,0.9361
hsianshun0514workout,pca_velocity_min_s21_e51,min,266,39.2105,28.0,68.0,94.5,0.4586,0.6992,0.9173
hsianshun0514workout,pca_velocity_min_s21_e81,min,266,38.8083,28.0,67.0,93.5,0.4699,0.7143,0.9173
hsianshun0514workout,pca_velocity_min_s51_e21,min,266,46.0827,40.0,75.0,96.5,0.3571,0.5902,0.9135
hsianshun0514workout,pca_velocity_min_s51_e51,min,266,46.1241,36.5,79.0,103.0,0.3797,0.6165,0.891
