stage,n_subjects,n_test_rows,selected_alpha_median,n_features_median,n,mae,rmse,r2,spearman,rounded_exact_acc,rounded_pm1_acc,features,delta_spearman_vs_exercise_only,delta_pm1_vs_exercise_only,delta_mae_reduction_vs_exercise_only,delta_spearman_vs_TUT,delta_pm1_vs_TUT,delta_mae_reduction_vs_TUT
TUT + Rep similarity,4,96,5.5,10.0,96,1.0485409883581027,1.3485813536246714,0.24983761866160792,0.5576630521257193,0.3541666666666667,0.7291666666666666,cumulative_active_time_sec|eccentric_wave_sim_to_first2_last_minus_first,0.5551907187756909,0.15625,0.44104234497523054,0.11279453050521704,0.02083333333333326,0.08267503804810783
TUT + Rep similarity + VO2 delay45s,4,96,5.5,11.0,96,1.065651196687495,1.3609631355578087,0.23599939270030412,0.5508461820896413,0.34375,0.7083333333333334,cumulative_active_time_sec|eccentric_wave_sim_to_first2_last_minus_first|vo2_slope_lag45,0.5483738487396129,0.13541666666666674,0.4239321366458382,0.10597766046913903,0.0,0.06556482971871547
TUT,4,96,5.005,9.0,96,1.1312160264062106,1.4763533365735109,0.10095464747891603,0.4448685216205023,0.3333333333333333,0.7083333333333334,cumulative_active_time_sec,0.44239618827047394,0.13541666666666674,0.3583673069271227,0.0,0.0,0.0
TUT + VO2 delay45s,4,96,10.0,10.0,96,1.1738258495288136,1.477996104484979,0.09895276280770382,0.3751919101508244,0.2708333333333333,0.6875,cumulative_active_time_sec|vo2_slope_lag45,0.3727195768007961,0.11458333333333337,0.3157574838045196,-0.06967661146967785,-0.02083333333333337,-0.042609823122603085
Rep similarity + VO2 delay45s,4,96,0.01,10.0,96,1.235107879283988,1.5470064513452109,0.012845271449576146,0.3029789505025855,0.23958333333333334,0.6666666666666666,eccentric_wave_sim_to_first2_last_minus_first|vo2_slope_lag45,0.30050661715255716,0.09375,0.25447545404934524,-0.14188957111791678,-0.04166666666666674,-0.10389185287777747
Rep similarity,4,96,0.01,9.0,96,1.2529527633336965,1.5662435571834132,-0.011858013782275023,0.2750860694375324,0.22916666666666666,0.6458333333333334,eccentric_wave_sim_to_first2_last_minus_first,0.27261373608750405,0.07291666666666674,0.23663056999963672,-0.1697824521829699,-0.0625,-0.12173673692748599
Exercise only,4,96,,0.0,96,1.4895833333333333,1.8371173070873836,-0.39211386116457025,0.0024723333500283416,0.17708333333333334,0.5729166666666666,exercise context only,0.0,0.0,0.0,-0.44239618827047394,-0.13541666666666674,-0.3583673069271227
VO2 delay45s,4,96,55.0,9.0,96,1.4650831757865646,1.762589835466048,-0.2814554225153796,-0.09169767277888392,0.1875,0.5625,vo2_slope_lag45,-0.09417000612891227,-0.01041666666666663,0.02450015754676871,-0.5365661943993862,-0.14583333333333337,-0.333867149380354
