folder,exercise,set_id,borg,kg,n_reps,set_index_numeric,total_rep_sec,total_concentric_sec,total_eccentric_sec,mean_ce_ratio,mean_ce_time_balance_abs,concentric_sec_mean,concentric_sec_first2,concentric_sec_last2,concentric_sec_slope,concentric_sec_cv,concentric_sec_last2_vs_first2,concentric_pca_movement_rate_mean,concentric_pca_movement_rate_first2,concentric_pca_movement_rate_last2,concentric_pca_movement_rate_slope,concentric_pca_movement_rate_cv,concentric_pca_movement_rate_last2_vs_first2,concentric_pca_range_mean,concentric_pca_range_first2,concentric_pca_range_last2,concentric_pca_range_slope,concentric_pca_range_cv,concentric_pca_range_last2_vs_first2,concentric_gyro_diff_rms_mean,concentric_gyro_diff_rms_first2,concentric_gyro_diff_rms_last2,concentric_gyro_diff_rms_slope,concentric_gyro_diff_rms_cv,concentric_gyro_diff_rms_last2_vs_first2,concentric_gyro_peak_abs_mean,concentric_gyro_peak_abs_first2,concentric_gyro_peak_abs_last2,concentric_gyro_peak_abs_slope,concentric_gyro_peak_abs_cv,concentric_gyro_peak_abs_last2_vs_first2,concentric_acc_diff_rms_mean,concentric_acc_diff_rms_first2,concentric_acc_diff_rms_last2,concentric_acc_diff_rms_slope,concentric_acc_diff_rms_cv,concentric_acc_diff_rms_last2_vs_first2,eccentric_sec_mean,eccentric_sec_first2,eccentric_sec_last2,eccentric_sec_slope,eccentric_sec_cv,eccentric_sec_last2_vs_first2,eccentric_pca_movement_rate_mean,eccentric_pca_movement_rate_first2,eccentric_pca_movement_rate_last2,eccentric_pca_movement_rate_slope,eccentric_pca_movement_rate_cv,eccentric_pca_movement_rate_last2_vs_first2,eccentric_pca_range_mean,eccentric_pca_range_first2,eccentric_pca_range_last2,eccentric_pca_range_slope,eccentric_pca_range_cv,eccentric_pca_range_last2_vs_first2,eccentric_gyro_diff_rms_mean,eccentric_gyro_diff_rms_first2,eccentric_gyro_diff_rms_last2,eccentric_gyro_diff_rms_slope,eccentric_gyro_diff_rms_cv,eccentric_gyro_diff_rms_last2_vs_first2,eccentric_gyro_peak_abs_mean,eccentric_gyro_peak_abs_first2,eccentric_gyro_peak_abs_last2,eccentric_gyro_peak_abs_slope,eccentric_gyro_peak_abs_cv,eccentric_gyro_peak_abs_last2_vs_first2,eccentric_acc_diff_rms_mean,eccentric_acc_diff_rms_first2,eccentric_acc_diff_rms_last2,eccentric_acc_diff_rms_slope,eccentric_acc_diff_rms_cv,eccentric_acc_diff_rms_last2_vs_first2,ce_ratio_slope,ce_ratio_last_minus_first,ce_time_balance_slope,phase_vector_similarity_slope,phase_vector_similarity_last_minus_first,phase_vector_similarity_mean,phase_vector_similarity_min,concentric_wave_sim_to_first2_mean,concentric_wave_sim_to_first2_min,concentric_wave_sim_to_first2_slope,concentric_wave_sim_to_first2_last_minus_first,eccentric_wave_sim_to_first2_mean,eccentric_wave_sim_to_first2_min,eccentric_wave_sim_to_first2_slope,eccentric_wave_sim_to_first2_last_minus_first,kg_x_total_rep_sec,kg_x_n_reps,cumulative_active_time_sec,vo2_slope_lag45
haoyu0512workout,db_bench_press,0,8.0,8.0,13,0.0,74.23705799999999,44.24238,29.976282,0.567211639474917,0.2465182478629848,3.40326,1.724625,9.786672,3.244266,1.1759268018649731,4.674666666666667,0.3381593996834821,0.4156371469252683,0.2575490392063726,-0.066945230903715,0.4637414755883069,-0.3803512484107201,0.9169721176595724,0.7010316832625335,1.897397572662617,0.472676017622628,0.6956449905723888,1.706578914996128,0.0141550943378171,0.0155239977063222,0.0173468996470553,0.0012580985411791,0.2366667569205072,0.1174247751911736,0.5856062348788466,0.5023536762224177,0.8086180383166699,0.1154356416845054,0.2668282223491913,0.6096588451333504,0.0249091870000941,0.0333964073065677,0.0265756845903705,-0.0028046737594477,0.2018247458102146,-0.2042352236749682,2.3058678461538458,1.646442,5.61078,1.2738724615384616,1.1359113745353235,2.4078212290502794,0.7357653128220911,0.4361365276525306,0.8794400928199451,0.2488999021242367,0.262247140355615,1.0164330136562048,2.0666696897673873,0.7264422539013919,6.390243079476793,2.5033997619114197,1.375532034385331,7.796629112854731,0.0267960045774883,0.017515117787346,0.0454986275100479,0.0153122926974686,0.5259153173479443,1.597677507080132,1.0401004079898566,0.5358716438592019,3.2283953093732447,1.206228221940267,1.4168329786028766,5.024568283037369,0.0341349215058708,0.0359551878430366,0.040339315126987,0.0024488033335725,0.195176730945303,0.1219330935799707,0.047810233427675,0.538961038961039,0.2791728306025189,-0.6734790697202968,-1.2025898885952806,0.1085067079586004,-0.7291960842176773,0.5851439284076496,0.1080805228667601,-0.2367316015681702,-0.654271875731038,0.4743530365377745,0.0,-0.3161140136563636,-0.6717213391362933,593.8964639999999,104.0,74.23705799999999,0.010949608313115
haoyu0512workout,db_bench_press,1,9.0,8.0,12,1.0,47.296116000000005,28.293048,18.99387,0.5958485147246586,0.1919399837739039,2.357754,2.400678,2.317896,-0.0870272307692308,0.16800969857373,-0.0344827586206896,0.3332412906742965,0.3727477537933553,0.3235626849628508,-0.0065604491609765,0.2191269541717003,-0.1319526900697888,0.7674857871401065,0.8135205841654862,0.7468833789698287,-0.0147638179389764,0.1566305460412426,-0.0819121316567721,0.0144711680903701,0.0145934778771557,0.0135500254283054,-0.000288582882083,0.0816997256289446,-0.0715012869196662,0.5513741982555501,0.5588714898102614,0.5377207865973737,-0.0035039627436229,0.0318664695200088,-0.0378453787651047,0.0229249800408864,0.0251910745659641,0.0217720201502916,-0.0024827840227847,0.109027231643222,-0.1357248340764316,1.5828224999999998,1.342908,1.766016,0.1144443461538461,0.1369518580784905,0.3150684931506848,0.9045571456384152,0.9427266883323432,1.026080590144447,0.0812657613164328,0.2456766774113705,0.0884178870119338,1.4110564353858477,1.2212108191411994,1.8319749975855055,0.2883828522009878,0.2475586978535851,0.5001300093900396,0.0273779933369688,0.0238212088711518,0.0324335341561098,0.0033867757078777,0.178331447531992,0.3615402279347719,0.5783862012018174,0.4751853933164625,0.7624470403383858,0.1159396957458751,0.2747424276802725,0.6045254148429049,0.040080376608,0.042573157750282,0.0406600125167634,-0.0018995829566829,0.166354112362226,-0.0449378278383856,-0.020718385457632,-0.1881542186626932,-0.041941368358637,-0.2828904432509174,-1.1441608916119324,-0.0276645468947045,-0.6429131545205986,0.5765471730572588,0.1923772039674594,-0.2754728143697912,-0.4888937139019791,0.234899282697316,-0.2249291625312155,-0.2259088037779572,-0.7927573451917229,378.368928,96.0,121.533174,-0.104999543735564
haoyu0512workout,db_bench_press,2,9.0,8.0,12,2.0,49.549626,29.783123999999997,19.766502,0.6015050372998311,0.203010074599662,2.481927,1.991367,2.791593,0.4683904615384616,0.1462719414567551,0.4018475750577366,0.3710917048174099,0.5325294187664162,0.2184285746108657,-0.1377963858899487,0.3049039486783676,-0.5898281542513706,0.889754600073121,1.0366628467938632,0.6125731620873996,-0.1534573581645014,0.2073218457644241,-0.4090912354176346,0.0148788880403786,0.0144071408826846,0.0130305890893758,-0.0014664574308339,0.1602797980332983,-0.0955464935421871,0.534307389633643,0.5219791398510307,0.5598245082085798,0.002201977679333,0.0450819422161892,0.0725036030527002,0.0218254324078073,0.0229132918844703,0.0224993946142012,-0.0004459572656952,0.1237567346648952,-0.0180636319022167,1.6472085,1.444086,1.6694369999999998,0.1756464230769231,0.1832459898913162,0.1560509554140126,0.9191720394913632,0.9296627659038028,1.0143077580172597,0.0427411960908381,0.2013239278361814,0.09104913654487,1.4773187882211998,1.353957588743245,1.5554847520088413,0.1637697379187145,0.1445313286169404,0.1488430397976172,0.0289806560057397,0.0276853998902931,0.0295725318136195,0.000214827760351,0.1682911063896079,0.0681634338244849,0.5982511745347251,0.6008742169849994,0.672242224521994,0.0643067946271978,0.1523322809797106,0.1187736226977704,0.0364999046678764,0.0350804216237697,0.0353557000709745,-0.0029399130758575,0.1976129779953895,0.0078470678077102,0.0231604993396467,0.065504519461354,0.0463209986792935,-0.6600952187020904,-1.0206382833815908,-0.0190888086141989,-0.8854402416693034,0.667214997722712,0.288879184736184,-0.1444208017278391,-0.3200090515597208,0.4802282591530491,0.1280723229736818,-0.2757678703580875,-0.6109136445875866,396.397008,96.0,171.0828,-0.0532246019275921
haoyu0512workout,db_biceps_curl,0,9.0,5.0,12,0.0,40.50799199999999,14.229306,26.278686,0.3481365912775889,0.3214288882531055,1.1857755,1.8028079999999995,1.062369,-0.4706899615384615,0.408566906339017,-0.4107142857142857,2.5413308773429333,2.7659462345883656,2.7700735142981667,-0.2917225594413215,0.2903076056204807,0.0014921764053794,2.9596164909439597,4.306078419183501,2.889618753130057,-1.221096670919166,0.3736752577254804,-0.3289442337471473,0.0485941172661788,0.0541289744609973,0.0518207711143357,-0.004780940048326,0.2017586563625852,-0.0426426580153448,2.8361329642983044,3.3351343651385976,2.7767420210082836,-0.3265519948385172,0.1066649396144254,-0.1674272407034218,0.0395935241571462,0.0368774391010043,0.0315706756469678,-0.0009619322850357,0.1288847695645426,-0.1439027108010858,2.1898905,1.876392,3.0859289999999997,0.5828348076923077,0.268859695515846,0.6446078431372546,1.6849704914589452,1.60881772192449,1.049469186872913,-0.1421941532667854,0.2969274313280794,-0.3476767612818664,3.509396565936358,3.1107432542249978,2.738421930020034,0.1695010619485689,0.279810169754524,-0.1196888633284918,0.0368956787717303,0.035510333879949,0.0296902373232538,-0.0006570383562952,0.1666073607312774,-0.1638986717604907,1.752595142677093,1.805128893786292,1.3554910691253088,-0.1807843899893568,0.1515177304591163,-0.2490890407930146,0.0513994995564952,0.081274657110471,0.026329264835209,-0.025240996165239,0.3685350291876657,-0.6760458207849276,-0.1271874640816354,-0.3141681593275045,0.2094389022653211,-0.728372804691709,-0.8767818010097701,0.0491110574749293,-0.8350091041477499,0.8982151166875383,0.7824542283805308,0.0326745862414497,0.124730727003348,0.8135339512712148,0.5021461781996908,-0.2474268602754803,-0.4752814994528449,202.53995999999995,60.0,40.50799199999999,-0.002827438507576
haoyu0512workout,db_biceps_curl,1,9.0,5.0,12,1.0,41.271426,15.213492,26.057934000000003,0.3694244677917709,0.2611510644164581,1.267791,1.3888979999999995,1.269324,-0.1163900769230769,0.1421351097699371,-0.0860927152317879,2.062496724610256,1.9567177415694812,1.955442460233622,0.0091290505330772,0.1515323880054823,-0.000651745169355,2.5968332280931676,2.6194332684236272,2.4840380891440166,-0.1919887348622299,0.1666471428036431,-0.0516887301202718,0.0444549117037853,0.0471131483365146,0.0384695126963254,-0.0046385381478803,0.1188012225735833,-0.183465464427264,2.3143008615404113,2.598817688942132,1.975364014035464,-0.2696002454133479,0.1169490954767274,-0.2398989654254851,0.0349408667968582,0.0312458677100274,0.0394553355375935,0.0026103494813117,0.1541809582004195,0.2627377131514714,2.1714945,1.844199,2.515653,0.4059501923076923,0.1219027696952166,0.3640897755610972,1.2671694570529748,1.531022772215069,1.1525030109515575,-0.1754910992388914,0.1390228090753092,-0.2472332666325222,2.7261954240861126,2.8166847483623036,2.8941758145037264,0.1520984863876742,0.1116478489968771,0.0275114445045645,0.025949913425625,0.0323655184822122,0.0192792952481099,-0.0056553170028859,0.1689789399416175,-0.4043260805877192,1.347340584201948,1.6037551757370672,1.3022211861122095,-0.185923223577283,0.1181125277667544,-0.1880174693660933,0.0388652363777481,0.0604371095151672,0.0230467375264851,-0.0196886741901619,0.3790698438213498,-0.6186657880999206,-0.0628430393641816,-0.1618372171563661,0.1256860787283633,-0.7804623393051128,-1.5854023471834031,-0.125315260113442,-0.81489712224324,0.9171412276533903,0.8108613080646053,-0.0469742710649917,-0.0431932683925456,0.882554447450196,0.5664736485340442,-0.1531227074077944,-0.4136953454745475,206.35713,60.0,81.77941799999999,0.0336580652405104
haoyu0512workout,db_biceps_curl,3,9.0,5.0,12,3.0,41.243832,14.634018,26.609814,0.3546985010915016,0.2906029978169965,1.2195015,1.232532,1.3475069999999998,0.0872041153846154,0.0822469399451284,0.0932835820895521,2.268930758012696,1.9394812406490176,2.13875739556686,0.0896836940521113,0.1469485914149193,0.1027471422467369,2.761549548579394,2.401836895862247,2.8784510870734463,0.3009171291865586,0.1560719804940165,0.1984373676798305,0.0438528239906256,0.0353127883914427,0.0437501460477096,0.0020799006534371,0.158042221513627,0.2389320708050191,2.4468832415887714,2.3156040125895485,2.321009267107093,-0.0983630653812923,0.0903045828874226,0.0023342741194767,0.0477462172252615,0.0434374163277214,0.0517216867887929,-0.0003644444551269,0.1388545328276963,0.1907173851816919,2.2174845,2.083347,2.235114,0.0925106538461539,0.0535887503313156,0.0728476821192052,1.308823162178937,1.6652665740338697,0.9735135609054548,-0.3155367793983719,0.2130172066380685,-0.415400767609682,2.885120079124036,3.479200086549583,2.162211316626583,-0.5654318938418825,0.1898818210380723,-0.3785320582781123,0.0277283048195037,0.0347142405048608,0.0209444305050376,-0.0076676258265305,0.2249375228669413,-0.3966617099946352,1.4617099774491915,1.7200732523016269,1.2544852809805171,-0.2667389171082201,0.1514609964544078,-0.2706791531686847,0.0460607295686184,0.0725996971285541,0.0283127458054344,-0.0234273193920952,0.3793674280420673,-0.6100156484771506,0.00622061323162,0.0323014411412201,-0.01244122646324,-0.5636733000073045,-0.9222275402940292,-0.0645858173715079,-0.7579071634953781,0.980303041036171,0.9591084323622872,-0.0075702175956919,-0.016592115271286,0.94439443782998,0.8742932586692956,-0.0380131062425844,-0.1061192833857542,206.21916,60.0,123.02324999999999,-0.0054214497936892
haoyu0512workout,db_rdl,0,9.0,10.5,12,0.0,51.159276000000006,28.578186,22.571892,0.5585932363277749,0.1187883211244059,2.3815155000000003,2.7134099999999997,2.327094,-0.1682172692307691,0.1362271016334578,-0.1423728813559321,0.325170093099956,0.257879576259058,0.3762027336967489,0.0697009505707587,0.192687990265571,0.4588310526725354,0.7654521582945085,0.6893120431392314,0.8650384667079684,0.1197173201551388,0.1813024231262619,0.2549301514716791,0.0149581459945446,0.0127217169992994,0.0158246257755953,0.0024563169278509,0.1751596846475888,0.2439064456839246,0.555778461220106,0.5833777422360549,0.5394328682589213,-0.0160622730605875,0.0582141204155226,-0.0753283349630297,0.0215008511527513,0.0179664216828664,0.0227161535467373,0.0032238740073854,0.1324077819516397,0.2643671593437255,1.880991,1.798209,1.922382,0.1418614615384615,0.156358194846122,0.0690537084398976,0.629991988161673,0.5975786244635581,0.8747007357810079,0.0993633896299067,0.3736872408727063,0.4637416734345547,1.1378443556408762,1.04450320868084,1.4735892606251926,0.1955763313154527,0.246201933734368,0.4108039576884292,0.0224702530663884,0.0197225226490721,0.024163376505576,0.0015373699148863,0.1630096287138803,0.2251666247528887,0.5224120477364179,0.5383165602364935,0.5384973755951763,0.0019501749607439,0.0839974424342521,0.0003358903887396,0.0329520064038334,0.0323514612546434,0.0318017942505116,0.0006789164478463,0.1207426306067799,-0.0169904845968265,-0.0324036761592922,-0.0871679760568648,-0.0628700668135241,-0.5170220916340618,-1.2689771711668194,0.0366480468288393,-0.7520469015640789,0.633143201878044,0.2732096248886304,-0.2177506202387455,-0.6362140462657255,0.5377406826902231,-0.1708353874175679,-0.3466411494635144,-0.9300609365466715,537.172398,126.0,51.159276000000006,0.0159648416129144
haoyu0512workout,db_rdl,1,9.0,10.5,12,1.0,45.934812,26.324675999999997,19.610135999999997,0.5709243461049677,0.1434826791380399,2.193723,1.867194,2.5708409999999997,0.2854917692307692,0.1625019700102513,0.3768472906403939,0.3802036423305677,0.5043357996590498,0.4584692389969996,0.0314831743107667,0.2853087325001366,-0.0909444871711619,0.8333243430583434,0.9417022404608923,1.179259964194132,0.196373940777608,0.3190993175488023,0.2522641590158827,0.0161510927540808,0.0207937917348077,0.0178888828415559,0.0004637058795262,0.2739204925063185,-0.1397007784967439,0.5378040729243813,0.533983425638003,0.536448014144543,-0.0117093123498356,0.0576550806531416,0.0046154775377069,0.0234439745019203,0.0234982165542988,0.0239807579421,0.0008164246850448,0.1355029201574989,0.0205352345224223,1.6341779999999997,1.646442,1.674036,-0.0378533076923077,0.1098001867797338,0.0167597765363127,0.6851587045964554,0.5267747246114045,0.6978039146323416,0.1146630707107754,0.3176300426661591,0.3246723542916818,1.105928081027266,0.8672968391331819,1.177360661127286,0.1528745541479206,0.2986659181827807,0.3575059979510553,0.0255006169060446,0.0238479581244466,0.0283495976065513,0.0036157978256016,0.191994719580048,0.1887641473795598,0.5715894351008386,0.4879629786718509,0.6441818078388448,0.1244798270841207,0.1997788472457171,0.320144838840426,0.0356117656582119,0.0326631900614539,0.0373079539689623,0.0034425412273762,0.0970631527189289,0.1422017842950906,0.0359521834215661,-0.0253064351378957,0.0685107016847612,-0.1312179122510726,-0.4221924538325176,-0.0159006426332596,-0.8407075135636949,0.5379245194269479,0.2620755159215728,-0.2302556546286354,-0.4082779858781011,0.3308375269622572,-0.0283879845815427,-0.1613190572695086,-0.3348793051723365,482.315526,126.0,97.094088,-0.0628747874479515
haoyu0512workout,db_rdl,2,9.0,10.5,12,2.0,53.394389999999994,30.85929,22.535099999999996,0.5766245035125448,0.1701359380089368,2.5716075000000003,3.550428,2.133936,-0.6136127307692308,0.2035108437410734,-0.3989637305699482,0.404700928773085,0.268628579123326,0.4049055885951869,0.1724576102292555,0.4772990938472222,0.5073064448935523,0.9960424704509072,0.9549782078023537,0.8687791849222516,0.1901833568351069,0.3674867602900031,-0.0902628166547042,0.0167720933557461,0.0124646915521236,0.0201120565810934,0.0046852990121854,0.2330883723816166,0.6135222036574866,0.5356844082420477,0.5829226875850927,0.5277724547603169,-0.0309069744935143,0.0527008223579262,-0.0946098582185055,0.0226492649344979,0.0154795720930907,0.0324153351579141,0.0089252601752555,0.2620474451190163,1.0940717846058918,1.8779249999999996,2.101743,1.549863,-0.0502352307692307,0.1758591689779618,-0.2625820568927789,0.6170327671124883,0.3956600188213183,0.8128997903112504,0.2262226018438643,0.3523437058992748,1.0545411505890847,1.1488252215646135,0.8312580552648903,1.186363339586881,0.3528951764747902,0.3867349291913513,0.4271901872984942,0.02783795427408,0.0208850318366563,0.0335747222019773,0.0090478358125702,0.2767463967626412,0.6075973675581678,0.679429401375872,0.564585098414719,0.5726472683833208,0.1864705297106691,0.407887545044982,0.0142798136033686,0.0337581499062437,0.0259788495391602,0.0431438915168209,0.0079782715390355,0.2091133807116242,0.6607314135210789,-0.046524960552405,-0.0100899100899101,-0.0657710325924412,-0.8044768262579512,-1.6456521914575912,0.0921556862974133,-0.6688135499855374,0.2625384074487216,-0.1286499456487518,-0.2392544410014157,-0.913530163291979,0.4219271019188899,-0.2860753088815452,-0.0569756186486827,-0.4848636556990937,560.641095,126.0,150.488478,0.0238335260803007
haoyu0512workout,db_shoulder_press,0,7.0,5.0,12,0.0,45.5301,28.633374,16.896725999999997,0.6258612568248907,0.2517225136497814,2.3861145,3.007746,2.276505,-0.3288285,0.2087857366131625,-0.2431192660550459,0.4220361230589213,0.3916128714844263,0.3487838328112767,0.0105045599356122,0.2541614058180672,-0.1093657583592802,0.9695945368380612,1.1247604217857723,0.7955453766506739,-0.0975093796147074,0.1571643032513123,-0.2926979281618094,0.0167485738262908,0.0161236943835441,0.0167861307351498,0.0007664523618328,0.1323220546178557,0.0410846506915805,0.5398796268821214,0.5656646390523279,0.5285831735671401,-0.017927128056494,0.0491710530354044,-0.0655537980017829,0.0278872325784965,0.0323022656651984,0.0229830906511842,-0.0065348972082649,0.2371935334439664,-0.2884991136722176,1.4080604999999995,1.56366,1.163547,-0.1922735769230769,0.1464688021797641,-0.2558823529411765,0.8881754899869638,0.9892586230487246,1.157108490947014,0.0845428311657144,0.3007750416871084,0.1696723829214701,1.222854038951184,1.5493330941988106,1.302892425101742,-0.1064388813474859,0.2340041840116193,-0.1590624185462892,0.0248486359289272,0.0248582078379023,0.0316816658360318,0.0043619176532982,0.1908988220649399,0.2744951704734502,0.5096112310227631,0.4803093291600583,0.6148625622064547,0.0689597785005973,0.1464842024045053,0.2801387041173999,0.0318521913889574,0.0274339059337047,0.0386899514536487,0.0062001678606669,0.1823410655267813,0.4102968621072316,0.0051341342430239,-0.0506564664530135,0.010268268486048,-0.3507948026370434,-1.358306181769775,-0.0217272054416259,-0.6530676597965652,0.2841032158913392,-0.1889150800254339,-0.2105642652427098,-0.3221354510714833,0.5516452644656108,-0.1603651625464859,-0.2426341201798708,-1.0296645478530568,227.6505,60.0,45.5301,0.0962114203287127
