,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10
true_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
true_4,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0
true_5,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.46153846153846156,0.15384615384615385,0.07692307692307693,0.0
true_6,0.0,0.0,0.0,0.0,0.21739130434782608,0.17391304347826086,0.43478260869565216,0.17391304347826086,0.0,0.0
true_7,0.0,0.0,0.0,0.0,0.037037037037037035,0.18518518518518517,0.3333333333333333,0.37037037037037035,0.037037037037037035,0.037037037037037035
true_8,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.4090909090909091,0.3181818181818182,0.13636363636363635,0.045454545454545456
true_9,0.0,0.0,0.0,0.0,0.027777777777777776,0.1111111111111111,0.25,0.3055555555555556,0.25,0.05555555555555555
true_10,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.5,0.16666666666666666
