dataset,model_stage,rpe_class,support,correct,class_accuracy_recall,precision,recall,f1_score
vo2_lag45_96_sets,M1_exercise_plus_set_index,2,0,0,0.0,0.0,0.0,0.0
vo2_lag45_96_sets,M1_exercise_plus_set_index,3,1,0,0.0,0.0,0.0,0.0
vo2_lag45_96_sets,M1_exercise_plus_set_index,4,1,0,0.0,0.0,0.0,0.0
vo2_lag45_96_sets,M1_exercise_plus_set_index,5,8,0,0.0,0.0,0.0,0.0
vo2_lag45_96_sets,M1_exercise_plus_set_index,6,14,6,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
vo2_lag45_96_sets,M1_exercise_plus_set_index,7,19,7,0.3684210526315789,0.2413793103448276,0.3684210526315789,0.2916666666666667
vo2_lag45_96_sets,M1_exercise_plus_set_index,8,16,7,0.4375,0.2,0.4375,0.27450980392156865
vo2_lag45_96_sets,M1_exercise_plus_set_index,9,30,4,0.13333333333333333,0.2857142857142857,0.13333333333333333,0.18181818181818182
vo2_lag45_96_sets,M1_exercise_plus_set_index,10,7,0,0.0,0.0,0.0,0.0
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,1,0,0,0.0,0.0,0.0,0.0
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,2,0,0,0.0,0.0,0.0,0.0
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,3,1,0,0.0,0.0,0.0,0.0
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,4,1,0,0.0,0.0,0.0,0.0
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,5,8,0,0.0,0.0,0.0,0.0
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,6,14,6,0.42857142857142855,0.4,0.42857142857142855,0.4137931034482759
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,7,19,7,0.3684210526315789,0.28,0.3684210526315789,0.3181818181818182
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,8,16,9,0.5625,0.28125,0.5625,0.375
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,9,30,12,0.4,0.6666666666666666,0.4,0.5
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,10,7,1,0.14285714285714285,0.25,0.14285714285714285,0.18181818181818182
vo2_lag45_96_sets,M3_progression_control,1,0,0,0.0,0.0,0.0,0.0
vo2_lag45_96_sets,M3_progression_control,2,0,0,0.0,0.0,0.0,0.0
vo2_lag45_96_sets,M3_progression_control,3,1,0,0.0,0.0,0.0,0.0
vo2_lag45_96_sets,M3_progression_control,4,1,0,0.0,0.0,0.0,0.0
vo2_lag45_96_sets,M3_progression_control,5,8,0,0.0,0.0,0.0,0.0
vo2_lag45_96_sets,M3_progression_control,6,14,6,0.42857142857142855,0.3157894736842105,0.42857142857142855,0.36363636363636365
vo2_lag45_96_sets,M3_progression_control,7,19,6,0.3157894736842105,0.2222222222222222,0.3157894736842105,0.2608695652173913
vo2_lag45_96_sets,M3_progression_control,8,16,7,0.4375,0.25,0.4375,0.3181818181818182
vo2_lag45_96_sets,M3_progression_control,9,30,10,0.3333333333333333,0.625,0.3333333333333333,0.43478260869565216
vo2_lag45_96_sets,M3_progression_control,10,7,1,0.14285714285714285,0.2,0.14285714285714285,0.16666666666666666
