,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10
true_1,0,0,0,0,0,0,0,0,0,0
true_2,0,0,0,0,0,0,0,0,0,0
true_3,0,0,0,0,0,3,0,0,0,0
true_4,0,0,0,0,0,7,0,0,0,0
true_5,0,0,0,0,0,6,5,1,1,0
true_6,0,0,0,0,5,4,10,2,1,1
true_7,0,0,0,0,1,6,9,10,1,0
true_8,0,0,0,0,0,3,9,7,2,1
true_9,0,0,0,0,1,3,9,9,8,6
true_10,0,0,0,0,0,1,1,4,5,1
