,5-6,7-8,9-10
5-6,0.3611111111111111,0.6111111111111112,0.027777777777777776
7-8,0.16326530612244897,0.7142857142857143,0.12244897959183673
9-10,0.125,0.4791666666666667,0.3958333333333333
