,5-6,7-8,9-10
5-6,0.2222222222222222,0.6944444444444444,0.08333333333333333
7-8,0.2653061224489796,0.5714285714285714,0.16326530612244897
9-10,0.125,0.5416666666666666,0.3333333333333333
