plot,file,subject,exercise,set_id,set_start,set_end,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/020_haoyu0512workout_db_weighted_crunch_set_0.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_weighted_crunch,0,180691,184913,0.9,12,12,1,11,11,0.0833,0.0833,0.0833,0.9428
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/021_haoyu0512workout_db_weighted_crunch_set_1.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_weighted_crunch,1,196014,200320,0.9,12,12,3,9,9,0.25,0.25,0.25,0.9326
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/022_haoyu0512workout_db_weighted_crunch_set_2.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_weighted_crunch,2,210453,214473,0.9,12,13,1,12,11,0.0769,0.0833,0.08,0.9043
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/023_haoyu0512workout_one_arm_db_row_set_0.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,one_arm_db_row,0,58038,63200,0.9,12,12,1,11,11,0.0833,0.0833,0.0833,0.936
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/024_haoyu0512workout_one_arm_db_row_set_1.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,one_arm_db_row,1,73276,77738,0.9,12,12,0,12,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/025_haoyu0512workout_one_arm_db_row_set_2.png,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,one_arm_db_row,2,88648,92850,0.9,12,12,1,11,11,0.0833,0.0833,0.0833,0.9288
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/026_hsianshun0514workout_db_bench_press_set_0.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_bench_press,0,107,5552,0.9,12,11,1,10,11,0.0909,0.0833,0.087,0.9447
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/027_hsianshun0514workout_db_bench_press_set_1.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_bench_press,1,13367,18859,0.9,12,2,0,2,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/028_hsianshun0514workout_db_bench_press_set_2.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_bench_press,2,25489,30740,0.9,12,11,0,11,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/029_hsianshun0514workout_db_biceps_curl_set_0.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_biceps_curl,0,286569,290778,0.9,11,12,0,12,11,0.0,0.0,0.0,0.0
