feature,family,construct,source,real_time_status,claim_role,correlation_scope,adjustment,n,subjects,spearman_rho,spearman_pvalue,spearman_qvalue_bh
gyro_diff_gain_last2_vs_first2,lowdim_set_trend,late-vs-early gyroscope change,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,subject_exercise_centered,143,6,0.13194175058754157,0.11622407818333502,0.23244815636667004
gyro_mag_diff_rms_slope,lowdim_set_trend,gyroscope difference trend across reps,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,raw,143,6,0.1928382623084412,0.021028455845628208,0.036799797729849364
gyro_mag_diff_rms_slope,lowdim_set_trend,gyroscope difference trend across reps,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,subject_centered,143,6,0.24636986019366752,0.0030154492740392244,0.007036048306091523
gyro_mag_diff_rms_slope,lowdim_set_trend,gyroscope difference trend across reps,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,exercise_centered,143,6,0.056672399173720474,0.5013952801719723,0.5849611602006344
gyro_mag_diff_rms_slope,lowdim_set_trend,gyroscope difference trend across reps,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,subject_exercise_centered,143,6,0.0956182557992007,0.2559575611277538,0.44792573197356916
sim_to_first_slope,lowdim_set_trend,trend in similarity to first repetition,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,raw,143,6,-0.15860299011343792,0.05849583262720475,0.09099351742009627
sim_to_first_slope,lowdim_set_trend,trend in similarity to first repetition,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,subject_centered,143,6,-0.15203861364665083,0.06987599024249669,0.09782638633949536
sim_to_first_slope,lowdim_set_trend,trend in similarity to first repetition,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,exercise_centered,143,6,-0.10578587594740768,0.2085928960005647,0.29203005440079055
sim_to_first_slope,lowdim_set_trend,trend in similarity to first repetition,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,subject_exercise_centered,143,6,-0.006381821945532292,0.939700367671505,0.939700367671505
pca_diff_rms_mean,lowdim_set_trend,mean waveform difference magnitude,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,raw,143,6,-0.2861385551605403,0.0005313849589315294,0.0014878778850082825
pca_diff_rms_mean,lowdim_set_trend,mean waveform difference magnitude,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,subject_centered,143,6,-0.2775800785648773,0.0007894958469526034,0.002763235464334112
pca_diff_rms_mean,lowdim_set_trend,mean waveform difference magnitude,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,exercise_centered,143,6,-0.26024965064490724,0.0016947130260893612,0.007908660788417019
pca_diff_rms_mean,lowdim_set_trend,mean waveform difference magnitude,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,subject_exercise_centered,143,6,-0.19206176493608554,0.021561536970868406,0.060372303518431536
vo2_mean,delayed_vo2_45s,mean VO2 in delayed post-set window,vo2_lag45,delayed_45s_physiology,delayed physiological evidence,vo2_overlap_lag45_96_sets,raw,96,4,-0.16855914278455777,0.10065831864065775,0.11743470508076737
vo2_mean,delayed_vo2_45s,mean VO2 in delayed post-set window,vo2_lag45,delayed_45s_physiology,delayed physiological evidence,vo2_overlap_lag45_96_sets,subject_centered,96,4,0.01055211568996149,0.9187267707256322,0.9187267707256322
vo2_mean,delayed_vo2_45s,mean VO2 in delayed post-set window,vo2_lag45,delayed_45s_physiology,delayed physiological evidence,vo2_overlap_lag45_96_sets,exercise_centered,96,4,-0.08505493678324201,0.40997215429034295,0.5217827418240728
vo2_mean,delayed_vo2_45s,mean VO2 in delayed post-set window,vo2_lag45,delayed_45s_physiology,delayed physiological evidence,vo2_overlap_lag45_96_sets,subject_exercise_centered,96,4,0.18598813572383255,0.06963188960904314,0.1624744090877673
vo2_peak,delayed_vo2_45s,peak VO2 in delayed post-set window,vo2_lag45,delayed_45s_physiology,delayed physiological evidence,vo2_overlap_lag45_96_sets,raw,96,4,-0.18205301302555485,0.07585680967025478,0.09654503048941518
vo2_peak,delayed_vo2_45s,peak VO2 in delayed post-set window,vo2_lag45,delayed_45s_physiology,delayed physiological evidence,vo2_overlap_lag45_96_sets,subject_centered,96,4,-0.1204136640043209,0.24256041920296056,0.308713260803768
vo2_peak,delayed_vo2_45s,peak VO2 in delayed post-set window,vo2_lag45,delayed_45s_physiology,delayed physiological evidence,vo2_overlap_lag45_96_sets,exercise_centered,96,4,-0.15337857230892268,0.13571115085605395,0.2374945139980944
vo2_peak,delayed_vo2_45s,peak VO2 in delayed post-set window,vo2_lag45,delayed_45s_physiology,delayed physiological evidence,vo2_overlap_lag45_96_sets,subject_exercise_centered,96,4,-0.028603792597689633,0.7820533694797043,0.8422113209781431
vo2_slope,delayed_vo2_45s,VO2 slope in delayed post-set window,vo2_lag45,delayed_45s_physiology,delayed physiological evidence,vo2_overlap_lag45_96_sets,raw,96,4,0.36385793608956896,0.0002683207629031439,0.0012521635602146715
vo2_slope,delayed_vo2_45s,VO2 slope in delayed post-set window,vo2_lag45,delayed_45s_physiology,delayed physiological evidence,vo2_overlap_lag45_96_sets,subject_centered,96,4,0.2706992104386702,0.007640521335823769,0.015281042671647538
vo2_slope,delayed_vo2_45s,VO2 slope in delayed post-set window,vo2_lag45,delayed_45s_physiology,delayed physiological evidence,vo2_overlap_lag45_96_sets,exercise_centered,96,4,0.21930105474403944,0.031812279158235854,0.09253139649140316
vo2_slope,delayed_vo2_45s,VO2 slope in delayed post-set window,vo2_lag45,delayed_45s_physiology,delayed physiological evidence,vo2_overlap_lag45_96_sets,subject_exercise_centered,96,4,0.047502283107186245,0.6458118562309223,0.7534471656027426
