iou_threshold,true_phase_segments,predicted_phase_segments,matched_phase_segments,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
0.25,5364,5480,3728,1752,1636,0.6803,0.695,0.6876,0.5996
0.5,5364,5480,2468,3012,2896,0.4504,0.4601,0.4552,0.7118
0.75,5364,5480,968,4512,4396,0.1766,0.1805,0.1785,0.8483
