,db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row,Other
db_bench_press,63.56,0.10,0.00,14.69,0.00,0.00,14.43,0.00,7.23
db_biceps_curl,0.00,86.14,0.04,0.00,0.04,0.00,0.00,0.00,13.78
db_rdl,0.00,0.00,64.69,0.00,0.00,0.00,0.00,16.16,19.15
db_shoulder_press,11.13,0.00,0.00,55.30,4.07,0.00,21.23,0.00,8.27
db_squat,0.00,0.84,0.00,4.25,68.39,0.00,1.51,0.00,25.01
db_triceps_curl,0.00,0.00,0.00,0.00,0.00,90.39,0.08,0.00,9.53
db_weighted_crunch,1.25,0.00,0.00,13.62,10.79,0.00,62.85,0.00,11.48
one_arm_db_row,0.00,0.00,22.09,0.00,0.00,0.00,0.00,63.66,14.24
Other,1.01,1.03,1.48,0.90,1.87,0.77,1.37,1.05,90.52
