,db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row,Other
db_bench_press,70.07,0.16,0.00,14.72,0.00,0.00,14.43,0.00,0.62
db_biceps_curl,0.00,98.52,0.32,0.00,0.04,0.00,0.00,0.00,1.12
db_rdl,0.00,0.00,73.10,0.00,0.00,0.00,0.00,21.30,5.60
db_shoulder_press,18.61,0.00,0.00,55.50,4.07,0.00,21.27,0.00,0.54
db_squat,0.00,0.92,0.00,4.29,89.28,0.00,1.56,0.00,3.95
db_triceps_curl,0.08,0.00,0.00,0.00,0.00,99.23,0.08,0.00,0.61
db_weighted_crunch,11.16,0.00,0.00,13.70,10.79,0.28,63.74,0.00,0.32
one_arm_db_row,0.00,0.00,24.58,0.00,0.00,0.00,0.00,69.89,5.52
Other,1.60,3.83,2.87,1.37,3.79,1.64,2.60,2.09,80.21
