plot,subject,exercise,set_id,method,file,window_start,window_end,true_reps,predicted_reps,predicted_with_best_iou_ge_0.50,mean_best_true_iou
artifacts_rep_classification/waveform_method_comparison/sets_all/005_haoyu0512workout_db_biceps_curl_set_1.png,haoyu0512workout,db_biceps_curl,1,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,312554,318387,12,19,4,0.3102
artifacts_rep_classification/waveform_method_comparison/sets_all/005_haoyu0512workout_db_biceps_curl_set_1.png,haoyu0512workout,db_biceps_curl,1,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,312554,318387,12,32,7,0.3124
artifacts_rep_classification/waveform_method_comparison/sets_all/005_haoyu0512workout_db_biceps_curl_set_1.png,haoyu0512workout,db_biceps_curl,1,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,312554,318387,12,20,7,0.3429
artifacts_rep_classification/waveform_method_comparison/sets_all/005_haoyu0512workout_db_biceps_curl_set_1.png,haoyu0512workout,db_biceps_curl,1,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,312554,318387,12,15,5,0.3958
artifacts_rep_classification/waveform_method_comparison/sets_all/005_haoyu0512workout_db_biceps_curl_set_1.png,haoyu0512workout,db_biceps_curl,1,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,312554,318387,12,18,7,0.381
artifacts_rep_classification/waveform_method_comparison/sets_all/006_haoyu0512workout_db_biceps_curl_set_2.png,haoyu0512workout,db_biceps_curl,2,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,336268,337124,1,1,0,0.2008
artifacts_rep_classification/waveform_method_comparison/sets_all/006_haoyu0512workout_db_biceps_curl_set_2.png,haoyu0512workout,db_biceps_curl,2,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,336268,337124,1,5,0,0.1676
artifacts_rep_classification/waveform_method_comparison/sets_all/006_haoyu0512workout_db_biceps_curl_set_2.png,haoyu0512workout,db_biceps_curl,2,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,336268,337124,1,0,0,0.0
artifacts_rep_classification/waveform_method_comparison/sets_all/006_haoyu0512workout_db_biceps_curl_set_2.png,haoyu0512workout,db_biceps_curl,2,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,336268,337124,1,1,0,0.2008
artifacts_rep_classification/waveform_method_comparison/sets_all/006_haoyu0512workout_db_biceps_curl_set_2.png,haoyu0512workout,db_biceps_curl,2,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,336268,337124,1,1,0,0.2008
artifacts_rep_classification/waveform_method_comparison/sets_all/007_haoyu0512workout_db_biceps_curl_set_3.png,haoyu0512workout,db_biceps_curl,3,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,338847,344677,12,53,0,0.2148
artifacts_rep_classification/waveform_method_comparison/sets_all/007_haoyu0512workout_db_biceps_curl_set_3.png,haoyu0512workout,db_biceps_curl,3,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,338847,344677,12,36,1,0.2721
artifacts_rep_classification/waveform_method_comparison/sets_all/007_haoyu0512workout_db_biceps_curl_set_3.png,haoyu0512workout,db_biceps_curl,3,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,338847,344677,12,25,8,0.4113
