level,feature,group,n,raw_spearman,raw_pearson,exercise_centered_spearman,subject_centered_spearman,subject_exercise_centered_spearman,abs_raw_spearman,abs_subject_exercise_centered_spearman
rep,rep_progress,progress,1945,0.5703888229831204,0.5820811504578193,0.5893034691282045,0.5965961742721514,0.6532598976112511,0.5703888229831204,0.6532598976112511
rep,rep_order,progress,1945,0.5461577764800839,0.5557882633409552,0.5680398521150227,0.5697276745695617,0.6385730885121637,0.5461577764800839,0.6385730885121637
rep,rep_index,progress,1945,0.5461303399197064,0.5557579963948538,0.5680180671437398,0.5696775363610562,0.6385591834746266,0.5461303399197064,0.6385591834746266
rep,cumulative_rep_sec,phase_tut,1945,0.4806087598985342,0.48069496827706837,0.5068954199614117,0.5387599667051205,0.6106766375376629,0.4806087598985342,0.6106766375376629
rep,cumulative_eccentric_sec,phase_tut,1945,0.47968576417965003,0.4706288575543152,0.49399245758478294,0.5515731444498648,0.6092687444053284,0.47968576417965003,0.6092687444053284
rep,cumulative_concentric_sec,phase_tut,1945,0.4567927730812532,0.4511635554694312,0.5021865491617856,0.49286325423673244,0.6005359922791991,0.4567927730812532,0.6005359922791991
rep,phase_vector_sim_to_first2,phase_similarity,1945,-0.28184859741785134,-0.3159805091611007,-0.2923564255374997,-0.300062622923469,-0.3288739574924213,0.28184859741785134,0.3288739574924213
rep,phase_vector_similarity_decay,phase_similarity,1945,0.28184859741785134,0.3159805091611007,0.2923564255374997,0.300062622923469,0.3288739574924213,0.28184859741785134,0.3288739574924213
rep,concentric_pca_range,phase_velocity,1922,0.23437176938303922,0.19718333480865058,0.15939280235457762,0.19829460882469976,0.13561673413361142,0.23437176938303922,0.13561673413361142
rep,concentric_pca_movement_rate,phase_velocity,1922,0.20771951719962317,0.17064007320375338,0.12252442982773083,0.17372353716701902,0.09511673814612981,0.20771951719962317,0.09511673814612981
rep,concentric_gyro_diff_rms,phase_gyro,1922,0.19382888636786005,0.17048788589337915,0.1428862300516934,0.15612904185719495,0.09144120115476718,0.19382888636786005,0.09144120115476718
rep,concentric_pca_diff_rms,other,1922,0.18900486117001164,0.16157647324712765,0.14238792818536364,0.16316746245568364,0.09213582899145847,0.18900486117001164,0.09213582899145847
rep,eccentric_pca_movement_rate,phase_velocity,1909,0.17730077297180963,0.14884952379515026,0.13091931051436975,0.14204524052560302,0.10982720953124121,0.17730077297180963,0.10982720953124121
