,1,2,3,4,5,6,7,8,9,10
1,0.06766917293233082,0.39097744360902253,0.42857142857142855,0.10526315789473684,0.007518796992481203,0.0,0.0,0.0,0.0,0.0
2,0.0,0.1891891891891892,0.3108108108108108,0.3108108108108108,0.1891891891891892,0.0,0.0,0.0,0.0,0.0
3,0.0,0.05625,0.33125,0.325,0.15625,0.1,0.025,0.00625,0.0,0.0
4,0.0,0.00966183574879227,0.15942028985507245,0.3864734299516908,0.2463768115942029,0.12077294685990338,0.03864734299516908,0.01932367149758454,0.01932367149758454,0.0
5,0.0,0.007772020725388601,0.06217616580310881,0.24093264248704663,0.37305699481865284,0.20207253886010362,0.06735751295336788,0.03367875647668394,0.007772020725388601,0.0051813471502590676
6,0.0,0.0,0.03170028818443804,0.13256484149855907,0.2910662824207493,0.31988472622478387,0.15561959654178675,0.04899135446685879,0.01440922190201729,0.005763688760806916
7,0.0,0.003401360544217687,0.01020408163265306,0.05442176870748299,0.20068027210884354,0.32653061224489793,0.2585034013605442,0.1054421768707483,0.030612244897959183,0.01020408163265306
8,0.0,0.0,0.0,0.034482758620689655,0.09359605911330049,0.26108374384236455,0.32019704433497537,0.18719211822660098,0.06896551724137931,0.034482758620689655
9,0.0,0.0,0.0,0.0,0.032,0.12,0.312,0.336,0.144,0.056
10,0.0,0.0,0.0,0.0,0.0,0.125,0.1875,0.25,0.375,0.0625
