pair_name,fold,train_subjects,val_subjects,val_samples,accuracy,balanced_accuracy
fft_spectral_top2,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.4663,0.4662
fft_spectral_top2,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.3882,0.3919
fft_spectral_top2,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.335,0.3285
fft_spectral_top2,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.4169,0.416
fft_spectral_top2,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.3311,0.3248
wavelet_top2,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.365,0.3629
wavelet_top2,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.4286,0.4504
wavelet_top2,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.3533,0.3464
wavelet_top2,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.4847,0.4876
wavelet_top2,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.4164,0.4236
pca_variance_top2,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.3528,0.3267
pca_variance_top2,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.3975,0.3868
pca_variance_top2,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.3217,0.3183
pca_variance_top2,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.3763,0.3783
pca_variance_top2,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.2986,0.3016
best_acc_vs_best_gyro,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.684,0.6914
best_acc_vs_best_gyro,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.7795,0.7914
best_acc_vs_best_gyro,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.6067,0.6114
best_acc_vs_best_gyro,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.7271,0.7234
best_acc_vs_best_gyro,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.5341,0.5262
best_acc_vs_best_corr,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.6718,0.6462
best_acc_vs_best_corr,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.6925,0.6779
best_acc_vs_best_corr,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.5733,0.5631
best_acc_vs_best_corr,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.6576,0.6567
best_acc_vs_best_corr,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.6536,0.6484
best_acc_vs_best_wavelet,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.5798,0.5829
best_acc_vs_best_wavelet,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.6988,0.6849
best_acc_vs_best_wavelet,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.675,0.6746
best_acc_vs_best_wavelet,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.6542,0.6544
best_acc_vs_best_wavelet,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.6297,0.6243
best_acc_vs_best_spectral,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.7515,0.7545
best_acc_vs_best_spectral,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.7391,0.7617
best_acc_vs_best_spectral,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.6817,0.6763
best_acc_vs_best_spectral,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.7814,0.7796
best_acc_vs_best_spectral,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.6348,0.6207
best_acc_vs_best_pca,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.6135,0.5887
best_acc_vs_best_pca,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.6988,0.6835
best_acc_vs_best_pca,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.555,0.5455
best_acc_vs_best_pca,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.6153,0.6154
best_acc_vs_best_pca,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.541,0.5267
duration_vs_best_acc,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.6564,0.6672
duration_vs_best_acc,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.6553,0.6366
duration_vs_best_acc,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.6017,0.5933
duration_vs_best_acc,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.5339,0.5337
duration_vs_best_acc,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.4744,0.4585
ranked_pair_01,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.6748,0.6728
ranked_pair_01,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.6646,0.6481
ranked_pair_01,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.615,0.6133
ranked_pair_01,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.6322,0.6329
ranked_pair_01,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.5119,0.5039
ranked_pair_02,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.6748,0.6728
ranked_pair_02,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.6646,0.6481
ranked_pair_02,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.615,0.6133
ranked_pair_02,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.6322,0.6329
ranked_pair_02,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.5119,0.5039
ranked_pair_03,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.5951,0.6018
ranked_pair_03,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.6304,0.6218
ranked_pair_03,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.5983,0.5913
ranked_pair_03,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.5814,0.5823
ranked_pair_03,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.5051,0.4927
ranked_pair_04,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.6104,0.6024
ranked_pair_04,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.6863,0.6748
ranked_pair_04,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.56,0.5503
ranked_pair_04,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.6508,0.654
ranked_pair_04,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.5085,0.5024
ranked_pair_05,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.5706,0.5962
ranked_pair_05,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.6739,0.6758
ranked_pair_05,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.6067,0.5986
ranked_pair_05,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.6525,0.6499
ranked_pair_05,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.5,0.4909
ranked_pair_06,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.5706,0.5962
ranked_pair_06,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.6739,0.6758
ranked_pair_06,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.6067,0.5986
ranked_pair_06,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.6525,0.6499
ranked_pair_06,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.5,0.4909
ranked_pair_07,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.6258,0.6426
ranked_pair_07,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.6925,0.678
ranked_pair_07,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.6417,0.6273
ranked_pair_07,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.7,0.6979
ranked_pair_07,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.5512,0.5387
ranked_pair_08,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.6074,0.6024
ranked_pair_08,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.6335,0.6153
ranked_pair_08,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.5733,0.5635
ranked_pair_08,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.6424,0.6445
ranked_pair_08,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.5478,0.5406
ranked_pair_09,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.6503,0.6464
ranked_pair_09,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.6553,0.6416
ranked_pair_09,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.59,0.5822
ranked_pair_09,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.6559,0.6605
ranked_pair_09,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.5648,0.5589
ranked_pair_10,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.589,0.5775
ranked_pair_10,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.6398,0.6246
ranked_pair_10,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.5883,0.5795
ranked_pair_10,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.661,0.6622
ranked_pair_10,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.5785,0.5721
ranked_pair_11,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.6564,0.6343
ranked_pair_11,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.6925,0.6847
