pair_name,fold,train_subjects,val_subjects,val_samples,accuracy,balanced_accuracy
db_biceps_curl_best_effect_pair,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.323,0.3428
db_biceps_curl_best_effect_pair,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.4483,0.4413
db_biceps_curl_best_effect_pair,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.3153,0.3153
db_biceps_curl_best_effect_pair,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.2662,0.2711
db_rdl_best_effect_pair,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.6503,0.6479
db_rdl_best_effect_pair,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.5404,0.5442
db_rdl_best_effect_pair,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.7067,0.7078
db_rdl_best_effect_pair,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.6305,0.6303
db_rdl_best_effect_pair,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.5683,0.5536
db_squat_best_effect_pair,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.3865,0.3968
db_squat_best_effect_pair,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.3727,0.3365
db_squat_best_effect_pair,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.3333,0.332
db_squat_best_effect_pair,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.3508,0.3507
db_squat_best_effect_pair,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.3549,0.3572
db_triceps_curl_best_effect_pair,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.5307,0.5279
db_triceps_curl_best_effect_pair,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.4068,0.4182
db_triceps_curl_best_effect_pair,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.3633,0.3626
db_triceps_curl_best_effect_pair,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.4458,0.4506
db_triceps_curl_best_effect_pair,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.3515,0.3495
db_weighted_crunch_best_effect_pair,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.4417,0.4253
db_weighted_crunch_best_effect_pair,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.3789,0.3829
db_weighted_crunch_best_effect_pair,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.3733,0.376
db_weighted_crunch_best_effect_pair,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.4305,0.4339
db_weighted_crunch_best_effect_pair,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.3618,0.3662
one_arm_db_row_best_effect_pair,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.681,0.6754
one_arm_db_row_best_effect_pair,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.5994,0.6008
one_arm_db_row_best_effect_pair,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.64,0.6393
one_arm_db_row_best_effect_pair,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.5983,0.5953
one_arm_db_row_best_effect_pair,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.5461,0.5415
