pair_name,true_exercise,pred_exercise,value
acc_norm_time_top2,db_shoulder_press,db_weighted_crunch,0.1588447653429603
acc_norm_time_top2,db_shoulder_press,one_arm_db_row,0.0
acc_norm_time_top2,db_squat,db_bench_press,0.21794871794871795
acc_norm_time_top2,db_squat,db_biceps_curl,0.022435897435897436
acc_norm_time_top2,db_squat,db_rdl,0.0
acc_norm_time_top2,db_squat,db_shoulder_press,0.2724358974358974
acc_norm_time_top2,db_squat,db_squat,0.27884615384615385
acc_norm_time_top2,db_squat,db_triceps_curl,0.022435897435897436
acc_norm_time_top2,db_squat,db_weighted_crunch,0.1858974358974359
acc_norm_time_top2,db_squat,one_arm_db_row,0.0
acc_norm_time_top2,db_triceps_curl,db_bench_press,0.006557377049180328
acc_norm_time_top2,db_triceps_curl,db_biceps_curl,0.09508196721311475
acc_norm_time_top2,db_triceps_curl,db_rdl,0.0
acc_norm_time_top2,db_triceps_curl,db_shoulder_press,0.022950819672131147
acc_norm_time_top2,db_triceps_curl,db_squat,0.029508196721311476
acc_norm_time_top2,db_triceps_curl,db_triceps_curl,0.8360655737704918
acc_norm_time_top2,db_triceps_curl,db_weighted_crunch,0.006557377049180328
acc_norm_time_top2,db_triceps_curl,one_arm_db_row,0.003278688524590164
acc_norm_time_top2,db_weighted_crunch,db_bench_press,0.27424749163879597
acc_norm_time_top2,db_weighted_crunch,db_biceps_curl,0.016722408026755852
acc_norm_time_top2,db_weighted_crunch,db_rdl,0.0
acc_norm_time_top2,db_weighted_crunch,db_shoulder_press,0.20066889632107024
acc_norm_time_top2,db_weighted_crunch,db_squat,0.3311036789297659
acc_norm_time_top2,db_weighted_crunch,db_triceps_curl,0.0
acc_norm_time_top2,db_weighted_crunch,db_weighted_crunch,0.17725752508361203
acc_norm_time_top2,db_weighted_crunch,one_arm_db_row,0.0
acc_norm_time_top2,one_arm_db_row,db_bench_press,0.0
acc_norm_time_top2,one_arm_db_row,db_biceps_curl,0.012903225806451613
acc_norm_time_top2,one_arm_db_row,db_rdl,0.3870967741935484
acc_norm_time_top2,one_arm_db_row,db_shoulder_press,0.0
acc_norm_time_top2,one_arm_db_row,db_squat,0.0
acc_norm_time_top2,one_arm_db_row,db_triceps_curl,0.0032258064516129032
acc_norm_time_top2,one_arm_db_row,db_weighted_crunch,0.0
acc_norm_time_top2,one_arm_db_row,one_arm_db_row,0.5967741935483871
gyro_axis_time_top2,db_bench_press,db_bench_press,0.15294117647058825
gyro_axis_time_top2,db_bench_press,db_biceps_curl,0.041176470588235294
gyro_axis_time_top2,db_bench_press,db_rdl,0.05
gyro_axis_time_top2,db_bench_press,db_shoulder_press,0.17647058823529413
gyro_axis_time_top2,db_bench_press,db_squat,0.14705882352941177
gyro_axis_time_top2,db_bench_press,db_triceps_curl,0.1588235294117647
gyro_axis_time_top2,db_bench_press,db_weighted_crunch,0.08823529411764706
gyro_axis_time_top2,db_bench_press,one_arm_db_row,0.18529411764705883
gyro_axis_time_top2,db_biceps_curl,db_bench_press,0.04861111111111111
gyro_axis_time_top2,db_biceps_curl,db_biceps_curl,0.6180555555555556
gyro_axis_time_top2,db_biceps_curl,db_rdl,0.0
gyro_axis_time_top2,db_biceps_curl,db_shoulder_press,0.013888888888888888
gyro_axis_time_top2,db_biceps_curl,db_squat,0.020833333333333332
gyro_axis_time_top2,db_biceps_curl,db_triceps_curl,0.2604166666666667
gyro_axis_time_top2,db_biceps_curl,db_weighted_crunch,0.0
gyro_axis_time_top2,db_biceps_curl,one_arm_db_row,0.03819444444444445
gyro_axis_time_top2,db_rdl,db_bench_press,0.030716723549488054
gyro_axis_time_top2,db_rdl,db_biceps_curl,0.0
gyro_axis_time_top2,db_rdl,db_rdl,0.4880546075085324
gyro_axis_time_top2,db_rdl,db_shoulder_press,0.006825938566552901
gyro_axis_time_top2,db_rdl,db_squat,0.12627986348122866
gyro_axis_time_top2,db_rdl,db_triceps_curl,0.0
gyro_axis_time_top2,db_rdl,db_weighted_crunch,0.3174061433447099
gyro_axis_time_top2,db_rdl,one_arm_db_row,0.030716723549488054
gyro_axis_time_top2,db_shoulder_press,db_bench_press,0.18411552346570398
gyro_axis_time_top2,db_shoulder_press,db_biceps_curl,0.018050541516245487
gyro_axis_time_top2,db_shoulder_press,db_rdl,0.0036101083032490976
gyro_axis_time_top2,db_shoulder_press,db_shoulder_press,0.20577617328519857
gyro_axis_time_top2,db_shoulder_press,db_squat,0.15162454873646208
gyro_axis_time_top2,db_shoulder_press,db_triceps_curl,0.1624548736462094
gyro_axis_time_top2,db_shoulder_press,db_weighted_crunch,0.061371841155234655
gyro_axis_time_top2,db_shoulder_press,one_arm_db_row,0.21299638989169675
gyro_axis_time_top2,db_squat,db_bench_press,0.12179487179487179
gyro_axis_time_top2,db_squat,db_biceps_curl,0.016025641025641024
gyro_axis_time_top2,db_squat,db_rdl,0.15064102564102563
gyro_axis_time_top2,db_squat,db_shoulder_press,0.15064102564102563
gyro_axis_time_top2,db_squat,db_squat,0.09935897435897435
gyro_axis_time_top2,db_squat,db_triceps_curl,0.09615384615384616
gyro_axis_time_top2,db_squat,db_weighted_crunch,0.2532051282051282
gyro_axis_time_top2,db_squat,one_arm_db_row,0.11217948717948718
gyro_axis_time_top2,db_triceps_curl,db_bench_press,0.10491803278688525
gyro_axis_time_top2,db_triceps_curl,db_biceps_curl,0.18688524590163935
gyro_axis_time_top2,db_triceps_curl,db_rdl,0.003278688524590164
gyro_axis_time_top2,db_triceps_curl,db_shoulder_press,0.2098360655737705
gyro_axis_time_top2,db_triceps_curl,db_squat,0.06229508196721312
gyro_axis_time_top2,db_triceps_curl,db_triceps_curl,0.25573770491803277
gyro_axis_time_top2,db_triceps_curl,db_weighted_crunch,0.0
gyro_axis_time_top2,db_triceps_curl,one_arm_db_row,0.17704918032786884
gyro_axis_time_top2,db_weighted_crunch,db_bench_press,0.06354515050167224
gyro_axis_time_top2,db_weighted_crunch,db_biceps_curl,0.0
gyro_axis_time_top2,db_weighted_crunch,db_rdl,0.3177257525083612
gyro_axis_time_top2,db_weighted_crunch,db_shoulder_press,0.06354515050167224
gyro_axis_time_top2,db_weighted_crunch,db_squat,0.24749163879598662
gyro_axis_time_top2,db_weighted_crunch,db_triceps_curl,0.0
gyro_axis_time_top2,db_weighted_crunch,db_weighted_crunch,0.24749163879598662
gyro_axis_time_top2,db_weighted_crunch,one_arm_db_row,0.06020066889632107
