pair_name,exercise,precision,recall,f1,support,pair_type,feature_x,feature_y,macro_f1,accuracy
acc_axis_time_top2,db_bench_press,0.5446927374301676,0.5735294117647058,0.5587392550143266,340,method_top2,axis_ax__mean,axis_ax__median,0.6321,0.637
acc_axis_time_top2,db_biceps_curl,0.9604743083003953,0.84375,0.8983364140480592,288,method_top2,axis_ax__mean,axis_ax__median,0.6321,0.637
acc_axis_time_top2,db_rdl,0.7849056603773585,0.7098976109215017,0.7455197132616488,293,method_top2,axis_ax__mean,axis_ax__median,0.6321,0.637
acc_axis_time_top2,db_shoulder_press,0.26804123711340205,0.2815884476534296,0.2746478873239437,277,method_top2,axis_ax__mean,axis_ax__median,0.6321,0.637
acc_axis_time_top2,db_squat,0.6853932584269663,0.782051282051282,0.7305389221556886,312,method_top2,axis_ax__mean,axis_ax__median,0.6321,0.637
acc_axis_time_top2,db_triceps_curl,0.7917981072555205,0.8229508196721311,0.8070739549839229,305,method_top2,axis_ax__mean,axis_ax__median,0.6321,0.637
acc_axis_time_top2,db_weighted_crunch,0.29218106995884774,0.23745819397993312,0.26199261992619927,299,method_top2,axis_ax__mean,axis_ax__median,0.6321,0.637
acc_axis_time_top2,one_arm_db_row,0.7448680351906158,0.8193548387096774,0.7803379416282642,310,method_top2,axis_ax__mean,axis_ax__median,0.6321,0.637
acc_norm_time_top2,db_bench_press,0.36795252225519287,0.36470588235294116,0.3663220088626292,340,method_top2,acc_norm__abs_mean,acc_norm__mean,0.4801,0.4781
acc_norm_time_top2,db_biceps_curl,0.7969348659003831,0.7222222222222222,0.7577413479052824,288,method_top2,acc_norm__abs_mean,acc_norm__mean,0.4801,0.4781
acc_norm_time_top2,db_rdl,0.5694444444444444,0.5597269624573379,0.5645438898450946,293,method_top2,acc_norm__abs_mean,acc_norm__mean,0.4801,0.4781
acc_norm_time_top2,db_shoulder_press,0.2730263157894737,0.2996389891696751,0.2857142857142857,277,method_top2,acc_norm__abs_mean,acc_norm__mean,0.4801,0.4781
acc_norm_time_top2,db_squat,0.2396694214876033,0.27884615384615385,0.2577777777777778,312,method_top2,acc_norm__abs_mean,acc_norm__mean,0.4801,0.4781
acc_norm_time_top2,db_triceps_curl,0.8095238095238095,0.8360655737704918,0.8225806451612904,305,method_top2,acc_norm__abs_mean,acc_norm__mean,0.4801,0.4781
acc_norm_time_top2,db_weighted_crunch,0.22362869198312235,0.17725752508361203,0.19776119402985073,299,method_top2,acc_norm__abs_mean,acc_norm__mean,0.4801,0.4781
acc_norm_time_top2,one_arm_db_row,0.5799373040752351,0.5967741935483871,0.5882352941176471,310,method_top2,acc_norm__abs_mean,acc_norm__mean,0.4801,0.4781
gyro_axis_time_top2,db_bench_press,0.1897810218978102,0.15294117647058825,0.16938110749185667,340,method_top2,axis_gz__std,axis_gz__rms,0.2784,0.2739
gyro_axis_time_top2,db_biceps_curl,0.6592592592592592,0.6180555555555556,0.6379928315412187,288,method_top2,axis_gz__std,axis_gz__rms,0.2784,0.2739
gyro_axis_time_top2,db_rdl,0.4627831715210356,0.4880546075085324,0.4750830564784053,293,method_top2,axis_gz__std,axis_gz__rms,0.2784,0.2739
gyro_axis_time_top2,db_shoulder_press,0.1786833855799373,0.20577617328519857,0.1912751677852349,277,method_top2,axis_gz__std,axis_gz__rms,0.2784,0.2739
gyro_axis_time_top2,db_squat,0.10231023102310231,0.09935897435897435,0.1008130081300813,312,method_top2,axis_gz__std,axis_gz__rms,0.2784,0.2739
gyro_axis_time_top2,db_triceps_curl,0.23214285714285715,0.25573770491803277,0.24336973478939158,305,method_top2,axis_gz__std,axis_gz__rms,0.2784,0.2739
gyro_axis_time_top2,db_weighted_crunch,0.2364217252396166,0.24749163879598662,0.24183006535947713,299,method_top2,axis_gz__std,axis_gz__rms,0.2784,0.2739
gyro_axis_time_top2,one_arm_db_row,0.17,0.16451612903225807,0.16721311475409836,310,method_top2,axis_gz__std,axis_gz__rms,0.2784,0.2739
gyro_norm_time_top2,db_bench_press,0.16129032258064516,0.14705882352941177,0.15384615384615385,340,method_top2,gyro_norm__median,gyro_norm__abs_mean,0.2926,0.2892
gyro_norm_time_top2,db_biceps_curl,0.8300395256916996,0.7291666666666666,0.7763401109057301,288,method_top2,gyro_norm__median,gyro_norm__abs_mean,0.2926,0.2892
gyro_norm_time_top2,db_rdl,0.26573426573426573,0.2593856655290102,0.26252158894645944,293,method_top2,gyro_norm__median,gyro_norm__abs_mean,0.2926,0.2892
gyro_norm_time_top2,db_shoulder_press,0.1609907120743034,0.18772563176895307,0.17333333333333334,277,method_top2,gyro_norm__median,gyro_norm__abs_mean,0.2926,0.2892
gyro_norm_time_top2,db_squat,0.2037037037037037,0.1762820512820513,0.18900343642611683,312,method_top2,gyro_norm__median,gyro_norm__abs_mean,0.2926,0.2892
gyro_norm_time_top2,db_triceps_curl,0.40700808625336926,0.49508196721311476,0.4467455621301775,305,method_top2,gyro_norm__median,gyro_norm__abs_mean,0.2926,0.2892
gyro_norm_time_top2,db_weighted_crunch,0.10266159695817491,0.0903010033444816,0.09608540925266904,299,method_top2,gyro_norm__median,gyro_norm__abs_mean,0.2926,0.2892
gyro_norm_time_top2,one_arm_db_row,0.22988505747126436,0.25806451612903225,0.24316109422492402,310,method_top2,gyro_norm__median,gyro_norm__abs_mean,0.2926,0.2892
mag_axis_time_top2,db_bench_press,0.1925287356321839,0.19705882352941176,0.19476744186046513,340,method_top2,axis_mx__min,axis_my__mean,0.3113,0.3193
mag_axis_time_top2,db_biceps_curl,0.2938388625592417,0.4305555555555556,0.3492957746478873,288,method_top2,axis_mx__min,axis_my__mean,0.3113,0.3193
mag_axis_time_top2,db_rdl,0.385,0.2627986348122867,0.31237322515212984,293,method_top2,axis_mx__min,axis_my__mean,0.3113,0.3193
mag_axis_time_top2,db_shoulder_press,0.27007299270072993,0.13357400722021662,0.178743961352657,277,method_top2,axis_mx__min,axis_my__mean,0.3113,0.3193
mag_axis_time_top2,db_squat,0.236,0.1891025641025641,0.2099644128113879,312,method_top2,axis_mx__min,axis_my__mean,0.3113,0.3193
mag_axis_time_top2,db_triceps_curl,0.4918032786885246,0.4918032786885246,0.4918032786885246,305,method_top2,axis_mx__min,axis_my__mean,0.3113,0.3193
mag_axis_time_top2,db_weighted_crunch,0.2371967654986523,0.29431438127090304,0.2626865671641791,299,method_top2,axis_mx__min,axis_my__mean,0.3113,0.3193
mag_axis_time_top2,one_arm_db_row,0.4398976982097187,0.5548387096774193,0.49072753209700426,310,method_top2,axis_mx__min,axis_my__mean,0.3113,0.3193
axis_correlation_top2,db_bench_press,0.3964285714285714,0.3264705882352941,0.3580645161290323,340,method_top2,corr__gy__gz,corr__ax__az,0.5245,0.5235
axis_correlation_top2,db_biceps_curl,0.89,0.9270833333333334,0.9081632653061225,288,method_top2,corr__gy__gz,corr__ax__az,0.5245,0.5235
axis_correlation_top2,db_rdl,0.3542234332425068,0.44368600682593856,0.3939393939393939,293,method_top2,corr__gy__gz,corr__ax__az,0.5245,0.5235
axis_correlation_top2,db_shoulder_press,0.24150943396226415,0.23104693140794225,0.23616236162361623,277,method_top2,corr__gy__gz,corr__ax__az,0.5245,0.5235
axis_correlation_top2,db_squat,0.5098039215686274,0.4166666666666667,0.4585537918871252,312,method_top2,corr__gy__gz,corr__ax__az,0.5245,0.5235
axis_correlation_top2,db_triceps_curl,0.9663299663299664,0.940983606557377,0.9534883720930233,305,method_top2,corr__gy__gz,corr__ax__az,0.5245,0.5235
axis_correlation_top2,db_weighted_crunch,0.5372670807453416,0.5785953177257525,0.5571658615136876,299,method_top2,corr__gy__gz,corr__ax__az,0.5245,0.5235
axis_correlation_top2,one_arm_db_row,0.3165680473372781,0.34516129032258064,0.33024691358024694,310,method_top2,corr__gy__gz,corr__ax__az,0.5245,0.5235
fft_spectral_top2,db_bench_press,0.287598944591029,0.3205882352941177,0.3031988873435327,340,method_top2,axis_gz__spectral_entropy,axis_ax__spectral_entropy,0.3781,0.3787
fft_spectral_top2,db_biceps_curl,0.7153024911032029,0.6979166666666666,0.7065026362038664,288,method_top2,axis_gz__spectral_entropy,axis_ax__spectral_entropy,0.3781,0.3787
fft_spectral_top2,db_rdl,0.3,0.2764505119453925,0.2877442273534636,293,method_top2,axis_gz__spectral_entropy,axis_ax__spectral_entropy,0.3781,0.3787
