method,mean_matched_rate,mean_best_iou,mean_prediction_ratio,mean_over_segmentation_ratio
dominant-axis,0.32707345409026084,0.2916480952380952,2.981992470647933,1.9819924706479328
short-time-energy,0.4201319385563083,0.3180523809523809,2.641894667735004,1.641894667735004
pca-extrema,0.39724414707607986,0.3087280952380952,2.6216782315101645,1.6216782315101643
pca-extrema-fft,0.34958419886991315,0.3479304761904762,0.9210503727520534,-0.07894962724794657
