plot,subject,exercise,set_id,method,file,window_start,window_end,true_reps,predicted_reps,predicted_with_best_iou_ge_0.50,mean_best_true_iou,set_key,matched_rate_at_iou_0.50,prediction_ratio,over_segmentation_ratio
artifacts_rep_classification/waveform_method_comparison/sets_all/004_haoyu0512workout_db_biceps_curl_set_0.png,haoyu0512workout,db_biceps_curl,0,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,297108,302834,12,24,4,0.2936,haoyu0512workout | db_biceps_curl | set 0,0.3333333333333333,2.0,1.0
artifacts_rep_classification/waveform_method_comparison/sets_all/004_haoyu0512workout_db_biceps_curl_set_0.png,haoyu0512workout,db_biceps_curl,0,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,297108,302834,12,45,5,0.2404,haoyu0512workout | db_biceps_curl | set 0,0.4166666666666667,3.75,2.75
artifacts_rep_classification/waveform_method_comparison/sets_all/004_haoyu0512workout_db_biceps_curl_set_0.png,haoyu0512workout,db_biceps_curl,0,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,297108,302834,12,21,3,0.3151,haoyu0512workout | db_biceps_curl | set 0,0.25,1.75,0.75
artifacts_rep_classification/waveform_method_comparison/sets_all/004_haoyu0512workout_db_biceps_curl_set_0.png,haoyu0512workout,db_biceps_curl,0,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,297108,302834,12,15,12,0.5936,haoyu0512workout | db_biceps_curl | set 0,1.0,1.25,0.25
artifacts_rep_classification/waveform_method_comparison/sets_all/004_haoyu0512workout_db_biceps_curl_set_0.png,haoyu0512workout,db_biceps_curl,0,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,297108,302834,12,9,4,0.434,haoyu0512workout | db_biceps_curl | set 0,0.3333333333333333,0.75,-0.25
artifacts_rep_classification/waveform_method_comparison/sets_all/005_haoyu0512workout_db_biceps_curl_set_1.png,haoyu0512workout,db_biceps_curl,1,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,312554,318387,12,19,4,0.3102,haoyu0512workout | db_biceps_curl | set 1,0.3333333333333333,1.5833333333333333,0.5833333333333334
artifacts_rep_classification/waveform_method_comparison/sets_all/005_haoyu0512workout_db_biceps_curl_set_1.png,haoyu0512workout,db_biceps_curl,1,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,312554,318387,12,32,7,0.3124,haoyu0512workout | db_biceps_curl | set 1,0.5833333333333334,2.6666666666666665,1.6666666666666667
artifacts_rep_classification/waveform_method_comparison/sets_all/005_haoyu0512workout_db_biceps_curl_set_1.png,haoyu0512workout,db_biceps_curl,1,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,312554,318387,12,20,7,0.3429,haoyu0512workout | db_biceps_curl | set 1,0.5833333333333334,1.6666666666666667,0.6666666666666666
artifacts_rep_classification/waveform_method_comparison/sets_all/005_haoyu0512workout_db_biceps_curl_set_1.png,haoyu0512workout,db_biceps_curl,1,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,312554,318387,12,15,5,0.3958,haoyu0512workout | db_biceps_curl | set 1,0.4166666666666667,1.25,0.25
artifacts_rep_classification/waveform_method_comparison/sets_all/005_haoyu0512workout_db_biceps_curl_set_1.png,haoyu0512workout,db_biceps_curl,1,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,312554,318387,12,18,7,0.381,haoyu0512workout | db_biceps_curl | set 1,0.5833333333333334,1.5,0.5
