,1,2,3,4,5,6,7,8,9,10
1,0.0,0.0,0.017391304347826087,0.4782608695652174,0.46956521739130436,0.034782608695652174,0.0,0.0,0.0,0.0
2,0.0,0.0,0.018518518518518517,0.3888888888888889,0.35185185185185186,0.2222222222222222,0.018518518518518517,0.0,0.0,0.0
3,0.0,0.0,0.006711409395973154,0.3288590604026846,0.4563758389261745,0.19463087248322147,0.013422818791946308,0.0,0.0,0.0
4,0.0,0.0,0.00510204081632653,0.2193877551020408,0.49489795918367346,0.25,0.030612244897959183,0.0,0.0,0.0
5,0.0,0.0,0.0028328611898017,0.254957507082153,0.42492917847025496,0.26345609065155806,0.05099150141643059,0.0028328611898017,0.0,0.0
6,0.0,0.0,0.0033222591362126247,0.132890365448505,0.4186046511627907,0.40863787375415284,0.036544850498338874,0.0,0.0,0.0
7,0.0,0.0,0.0,0.10548523206751055,0.37130801687763715,0.45569620253164556,0.06751054852320675,0.0,0.0,0.0
8,0.0,0.0,0.0,0.09146341463414634,0.22560975609756098,0.5792682926829268,0.10365853658536585,0.0,0.0,0.0
9,0.0,0.0,0.0,0.03125,0.11458333333333333,0.7083333333333334,0.14583333333333334,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.3333333333333333,0.0,0.0,0.0
