file,subject,exercise,set_id,boundary,local_boundary,feature,objective,candidate,signed_error_samples,abs_error_samples,search_radius,candidate_score
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1940,1581,motion_energy_min,min,2013,73,73,160,-0.3105
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1940,1581,transition_energy_max,max,1900,-40,40,160,0.5897
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,2429,2070,pca_extreme_max,max,2389,-40,40,160,3.2829
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,2429,2070,pca_velocity_min,min,2269,-160,160,160,-0.2727
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,2429,2070,acc_magnitude_min,min,2431,2,2,160,1.0132
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,2429,2070,gyro_magnitude_min,min,2454,25,25,160,-0.48
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,2429,2070,acc_jerk_max,max,2391,-38,38,160,1.411
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,2429,2070,gyro_jerk_max,max,2384,-45,45,160,1.0661
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,2429,2070,motion_energy_min,min,2269,-160,160,160,-0.1269
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,2429,2070,transition_energy_max,max,2391,-38,38,160,1.5808
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,2776,2417,pca_extreme_max,max,2730,-46,46,160,3.7062
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,2776,2417,pca_velocity_min,min,2859,83,83,160,-0.4926
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,2776,2417,acc_magnitude_min,min,2746,-30,30,160,0.9679
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,2776,2417,gyro_magnitude_min,min,2804,28,28,160,-0.4828
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,2776,2417,acc_jerk_max,max,2750,-26,26,160,0.465
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,2776,2417,gyro_jerk_max,max,2752,-24,24,160,1.005
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,2776,2417,motion_energy_min,min,2867,91,91,160,-0.2931
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,2776,2417,transition_energy_max,max,2749,-27,27,160,0.9994
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,3256,2897,pca_extreme_max,max,3201,-55,55,160,3.3804
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,3256,2897,pca_velocity_min,min,3306,50,50,160,-0.4879
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,3256,2897,acc_magnitude_min,min,3322,66,66,160,1.0005
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,3256,2897,gyro_magnitude_min,min,3338,82,82,160,-0.6565
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,3256,2897,acc_jerk_max,max,3218,-38,38,160,1.8506
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,3256,2897,gyro_jerk_max,max,3215,-41,41,160,1.1594
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,3256,2897,motion_energy_min,min,3325,69,69,160,-0.3577
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,3256,2897,transition_energy_max,max,3218,-38,38,160,1.7694
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,3753,3394,pca_extreme_max,max,3645,-108,108,160,4.9489
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,3753,3394,pca_velocity_min,min,3913,160,160,160,-0.2748
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,3753,3394,acc_magnitude_min,min,3698,-55,55,160,0.8417
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,3753,3394,gyro_magnitude_min,min,3708,-45,45,160,-0.3251
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,3753,3394,acc_jerk_max,max,3631,-122,122,160,0.484
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,3753,3394,gyro_jerk_max,max,3662,-91,91,160,2.0212
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,3753,3394,motion_energy_min,min,3731,-22,22,160,-0.1477
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,3753,3394,transition_energy_max,max,3667,-86,86,160,1.3969
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,4113,3754,pca_extreme_max,max,4063,-50,50,160,4.2186
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,4113,3754,pca_velocity_min,min,4197,84,84,160,-0.4465
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,4113,3754,acc_magnitude_min,min,4087,-26,26,160,0.8349
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,4113,3754,gyro_magnitude_min,min,3961,-152,152,160,-0.4771
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,4113,3754,acc_jerk_max,max,4077,-36,36,160,1.2164
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,4113,3754,gyro_jerk_max,max,4053,-60,60,160,2.1527
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,4113,3754,motion_energy_min,min,4188,75,75,160,-0.3353
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,4113,3754,transition_energy_max,max,4071,-42,42,160,1.6408
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,4597,4238,pca_extreme_max,max,4549,-48,48,160,4.0373
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,4597,4238,pca_velocity_min,min,4626,29,29,160,-0.3893
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,4597,4238,acc_magnitude_min,min,4634,37,37,160,1.0287
