,db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row
db_bench_press,0.3264705882352941,0.0,0.14705882352941177,0.17352941176470588,0.041176470588235294,0.0,0.1588235294117647,0.15294117647058825
db_biceps_curl,0.0,0.9270833333333334,0.0,0.0,0.03125,0.0,0.034722222222222224,0.006944444444444444
db_rdl,0.07849829351535836,0.0,0.44368600682593856,0.14334470989761092,0.16040955631399317,0.0034129692832764505,0.04436860068259386,0.12627986348122866
db_shoulder_press,0.22382671480144403,0.0,0.20938628158844766,0.23104693140794225,0.07942238267148015,0.0,0.04693140794223827,0.20938628158844766
db_squat,0.07051282051282051,0.016025641025641024,0.22115384615384615,0.10576923076923077,0.4166666666666667,0.028846153846153848,0.022435897435897436,0.11858974358974358
db_triceps_curl,0.006557377049180328,0.0,0.0,0.006557377049180328,0.03934426229508197,0.940983606557377,0.003278688524590164,0.003278688524590164
db_weighted_crunch,0.07357859531772576,0.0903010033444816,0.07357859531772576,0.030100334448160536,0.006688963210702341,0.0,0.5785953177257525,0.14715719063545152
one_arm_db_row,0.12258064516129032,0.0032258064516129032,0.12258064516129032,0.18064516129032257,0.06129032258064516,0.0,0.16451612903225807,0.34516129032258064
