,1-2,3-4,5-6,7-8,9-10
1-2,0.0,0.014492753623188406,0.9855072463768116,0.0,0.0
3-4,0.0,0.008174386920980926,0.9918256130790191,0.0,0.0
5-6,0.0,0.021828103683492497,0.9781718963165075,0.0,0.0
7-8,0.0,0.028169014084507043,0.971830985915493,0.0,0.0
9-10,0.0,0.0,1.0,0.0,0.0
