,1-2,3-4,5-6,7-8,9-10
1-2,0.2898550724637681,0.6231884057971014,0.08695652173913043,0.0,0.0
3-4,0.035422343324250684,0.5258855585831063,0.3678474114441417,0.05994550408719346,0.010899182561307902
5-6,0.005457025920873124,0.21691678035470668,0.5702592087312415,0.18281036834924966,0.02455661664392906
7-8,0.0,0.05432595573440644,0.42655935613682094,0.4346076458752515,0.08450704225352113
9-10,0.0,0.0,0.14893617021276595,0.5886524822695035,0.2624113475177305
