fold,file,subject,exercise,set_id,period,expected_count,count_options,candidate_count,predicted_reps,boundaries
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_weighted_crunch,0,343.0,12,"10,11,12,13,14",462,13,"171206,171486,171831,172211,172459,172833,173155,173544,173860,174207,174485,174937,175187,175493"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_weighted_crunch,1,307.0,4,"2,3,4,5,6",104,3,"180643,181024,181407,181786"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_weighted_crunch,2,324.0,12,"10,11,12,13,14",441,12,"186438,186760,187059,187374,187761,188048,188370,188693,189029,189331,189650,189954,190303"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_weighted_crunch,3,305.0,11,"9,10,11,12,13",428,12,"198741,199010,199302,199581,199881,200187,200487,200779,201054,201401,201679,202016,202234"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,one_arm_db_row,0,306.0,12,"10,11,12,13,14",408,11,"78667,79008,79340,79704,80016,80303,80646,81090,81398,81699,82040,82415"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,one_arm_db_row,1,272.0,12,"10,11,12,13,14",417,12,"88561,88853,89148,89394,89613,89946,90221,90494,90764,91044,91296,91544,91793"
1,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,one_arm_db_row,2,269.0,12,"10,11,12,13,14",421,12,"98645,98936,99196,99444,99702,99977,100232,100510,100773,101043,101338,101614,101842"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,25.0,30,"28,29,30",1103,30,"359,565,772,979,1186,1393,1599,1806,2013,2220,2418,2633,2840,3047,3253,3460,3667,3873,4080,4287,4494,4700,4907,5114,5321,5527,5739,5941,6148,6354,6561"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,422.0,12,"10,11,12,13,14",430,12,"19964,20336,20821,21230,21678,22080,22531,22964,23396,23843,24282,24678,25106"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,1045.0,5,"3,4,5,6,7",132,5,"33305,34206,35460,36540,37572,38692"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,340.0,13,"11,12,13,14,15",476,11,"297769,298184,298570,298943,299380,299771,300173,300572,300972,301372,301797,302173"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,372.0,12,"10,11,12,13,14",438,13,"313227,313572,313917,314254,314608,314953,315349,315674,316051,316362,316665,317012,317273,317714"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,373.0,12,"10,11,12,13,14",416,11,"339520,339968,340335,340735,341121,341512,342053,342403,342781,343189,343594,344004"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,478.0,12,"10,11,12,13,14",419,12,"123099,123563,124026,124550,124953,125417,125880,126355,126844,127266,127703,128166,128661"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,403.0,12,"10,11,12,13,14",455,12,"137920,138304,138723,139168,139585,140001,140417,140833,141249,141646,142082,142551,142914"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,454.0,13,"11,12,13,14,15",455,13,"156977,157435,157882,158337,158761,159210,159667,160143,160566,161006,161528,161970,162418,162782"
