iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
0.5,2720,2658,1985,673,735,0.7468,0.7298,0.7382,0.7622
0.75,2720,2658,1104,1554,1616,0.4153,0.4059,0.4106,0.8727
0.85,2720,2658,675,1983,2045,0.254,0.2482,0.251,0.9184
0.9,2720,2658,436,2222,2284,0.164,0.1603,0.1621,0.9425
0.95,2720,2658,167,2491,2553,0.0628,0.0614,0.0621,0.9721
