block_index,file,subject,exercise,set_id,start,end,samples,predicted_reps,prediction_seconds
37,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_shoulder_press,3:active0,267342,271029,3687,3,0.03767941700061783
38,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_squat,0:active0,473497,476601,3104,12,0.047938042000168934
39,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_squat,1:active0,486271,489324,3053,12,0.04658212499998626
40,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_squat,2:active0,502284,505107,2823,12,0.044203583000125946
41,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_triceps_curl,0:active0,407676,410731,3055,10,0.0438795409991144
42,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_triceps_curl,1:active0,430978,434589,3611,12,0.04971429199940758
43,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_triceps_curl,2:active0,448600,451823,3223,12,0.046025749999898835
44,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_weighted_crunch,0:active0,164651,169003,4352,11,0.05746687500140979
45,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_weighted_crunch,1:active0,176284,176675,391,5,0.016127791001053993
46,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_weighted_crunch,2:active0,177652,182328,4676,13,0.06080225000005157
47,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_weighted_crunch,3:active0,191776,196184,4408,12,0.05735216699940793
48,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,one_arm_db_row,0:active0,43208,46964,3756,12,0.05331645899968862
49,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,one_arm_db_row,1:active0,55172,58391,3219,12,0.04958779200023855
50,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,one_arm_db_row,2:active0,64750,67663,2913,12,0.04843795800115913
51,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,one_arm_db_row,3:active0,74827,77617,2790,12,0.04820975000075123
52,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_bench_press,0:active0,617,4613,3996,12,0.05232141600026807
