phase,iou_threshold,true_phase_segments,predicted_phase_segments,matched_phase_segments,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
concentric,0.25,2396,2374,1733,641,663,0.73,0.7233,0.7266,0.5985
concentric,0.5,2396,2374,1166,1208,1230,0.4912,0.4866,0.4889,0.7047
concentric,0.75,2396,2374,432,1942,1964,0.182,0.1803,0.1811,0.8487
eccentric,0.25,2380,2374,1613,761,767,0.6794,0.6777,0.6786,0.6085
eccentric,0.5,2380,2374,1050,1324,1330,0.4423,0.4412,0.4417,0.7345
eccentric,0.75,2380,2374,500,1874,1880,0.2106,0.2101,0.2103,0.8547
