scope,rpe_class,count,percent,total
all,1,0,0.0,168
all,2,0,0.0,168
all,3,3,1.7857142857142856,168
all,4,7,4.166666666666666,168
all,5,14,8.333333333333332,168
all,6,24,14.285714285714285,168
all,7,29,17.261904761904763,168
all,8,28,16.666666666666664,168
all,9,47,27.976190476190478,168
all,10,16,9.523809523809524,168
