folder,source_file,source_row_index,row_key,row_instance,exercise_index,exercise,set_id,rep_id,kg,rpe,rpe_class,completed,raw_value,filled_from_previous
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,6,2_2,0,2,one_arm_db_row,2,4,10.5,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,6,2_2,0,2,one_arm_db_row,2,5,10.5,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,6,2_2,0,2,one_arm_db_row,2,6,10.5,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,6,2_2,0,2,one_arm_db_row,2,7,10.5,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,6,2_2,0,2,one_arm_db_row,2,8,10.5,9.0,9.0,True,9.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,6,2_2,0,2,one_arm_db_row,2,9,10.5,9.0,9.0,True,9.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,6,2_2,0,2,one_arm_db_row,2,10,10.5,9.0,9.0,True,9.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,6,2_2,0,2,one_arm_db_row,2,11,10.5,9.0,9.0,True,9.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,8,3_0,0,3,db_rdl,0,0,10.5,1.0,1.0,True,1.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,8,3_0,0,3,db_rdl,0,1,10.5,1.0,1.0,True,1.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,8,3_0,0,3,db_rdl,0,2,10.5,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,8,3_0,0,3,db_rdl,0,3,10.5,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,8,3_0,0,3,db_rdl,0,4,10.5,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,8,3_0,0,3,db_rdl,0,5,10.5,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,8,3_0,0,3,db_rdl,0,6,10.5,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,8,3_0,0,3,db_rdl,0,7,10.5,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,8,3_0,0,3,db_rdl,0,8,10.5,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,8,3_0,0,3,db_rdl,0,9,10.5,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,8,3_0,0,3,db_rdl,0,10,10.5,9.0,9.0,True,9.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,8,3_0,0,3,db_rdl,0,11,10.5,9.0,9.0,True,9.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,9,3_1,0,3,db_rdl,1,0,10.5,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,9,3_1,0,3,db_rdl,1,1,10.5,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,9,3_1,0,3,db_rdl,1,2,10.5,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,9,3_1,0,3,db_rdl,1,3,10.5,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,9,3_1,0,3,db_rdl,1,4,10.5,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,9,3_1,0,3,db_rdl,1,5,10.5,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,9,3_1,0,3,db_rdl,1,6,10.5,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,9,3_1,0,3,db_rdl,1,7,10.5,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,9,3_1,0,3,db_rdl,1,8,10.5,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,9,3_1,0,3,db_rdl,1,9,10.5,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,9,3_1,0,3,db_rdl,1,10,10.5,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,9,3_1,0,3,db_rdl,1,11,10.5,9.0,9.0,True,9.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,10,3_2,0,3,db_rdl,2,0,10.5,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,10,3_2,0,3,db_rdl,2,1,10.5,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,10,3_2,0,3,db_rdl,2,2,10.5,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,10,3_2,0,3,db_rdl,2,3,10.5,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,10,3_2,0,3,db_rdl,2,4,10.5,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,10,3_2,0,3,db_rdl,2,5,10.5,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,10,3_2,0,3,db_rdl,2,6,10.5,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,10,3_2,0,3,db_rdl,2,7,10.5,7.0,7.0,True,7.0,False
