folder,source_file,status,raw_rows,parsed_set_rows,parsed_rep_rows,duplicate_row_keys
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,ok,31,24,288,0
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,ok,31,24,279,1
kevin0509workout,,missing_same_name_xlsx,0,0,0,0
thomas0506workout,,missing_same_name_xlsx,0,0,0,0
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,ok,31,24,286,0
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,ok,31,24,275,0
yoru0511workout,datasets/workout/yoru0511workout/yoru0511workout.xlsx,ok,31,24,288,0
yushuan0513workout,datasets/workout/yushuan0513workout/yushuan0513workout.xlsx,ok,31,24,281,0
ziho0512workout,datasets/workout/ziho0512workout/ziho0512workout.xlsx,ok,31,24,280,0
