scope,rpe_class,count,percent,total
all,1,136,6.87910976226606,1977
all,2,77,3.8947900859888724,1977
all,3,162,8.19423368740516,1977
all,4,211,10.672736469398078,1977
all,5,389,19.676277187658066,1977
all,6,354,17.905918057663126,1977
all,7,300,15.174506828528072,1977
all,8,204,10.318664643399089,1977
all,9,128,6.474456246838645,1977
all,10,16,0.8093070308548306,1977
